State,COVID-19 site,Data site,Twitter,PUI,PUM,Comments,Last update (Eastern time),Last checked (Eastern time),Checked by
AK,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx,@Alaska_DHSS,All data,N,"Reports positive, pending, and total",3/6/2020 16:30:00,3/6/2020 22:58:52,JH
AL,http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html,,@alpublichealth,No data,N,,3/6/2020,3/6/2020 22:58:52,JH
AR,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,,@adhpio,All data,Y,,3/6/2020,3/6/2020 22:58:52,JH
AZ,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,,@azdhs,All data,N,,3/6/2020 9:00:43,3/6/2020 22:59:53,JH
CA,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,,@CAPublicHealth,Only positives,N,Formerly had total tests,3/6/2020 13:00:00,3/6/2020 23:00:52,JH
CO,https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus,,@cdphe,All data,N,,3/6/2020,3/6/2020 23:01:36,JH
CT,https://portal.ct.gov/DPH/Public-Health-Preparedness/Main-Page/2019-Novel-Coronavirus,,@ctdph,No data,N,,3/4/2020,3/6/2020 23:04:44,JH
DC,https://coronavirus.dc.gov/,https://coronavirus.dc.gov/page/coronavirus-surveillance-data,@_DCHealth,All data,N,,3/6/2020,3/6/2020 23:05:42,JH
DE,https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html,,@Delaware_DHSS,All data,Y,,3/6/2020 14:10:00,3/6/2020 23:06:11,JH
FL,http://www.floridahealth.gov/diseases-and-conditions/COVID-19/,,@HealthyFla,All data,N,,3/6/2020 21:57:00,3/6/2020 23:06:38,JH
GA,https://dph.georgia.gov/novelcoronavirus,,@GaDPH,Only positives,N,,3/2/2020,3/6/2020 23:08:04,JH
HI,https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/,,@HIgov_Health,Only positives,N,Data in text,3/6/2020,3/6/2020 23:08:38,JH
