OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered
Mainland China,80813,3176,4020,,64111
Italy,15113,1016,1153,,1258
Iran,10075,429,,,2959
South Korea,7979,67,,36,510
Spain,3146,67,190,,189
France,2876,61,129,,12
Germany,2745,6,,2,25
United States,1336,36,2,6,9
Switzerland,854,7,,,4
Norway,800,1,,,
Diamond Princess,696,7,14,,245
Japan,690,19,29,,59
Sweden,687,1,,,
Denmark*,617,0,,,
Netherlands,614,5,1,,2
United Kingdom,590,10,20,,12
Belgium,399,3,,,1
Austria,302,1,,,4
Qatar,262,0,,,
Bahrain,195,0,,1,35
Singapore,178,0,,9,96
Malaysia,149,0,2,,26
Australia,156,3,,,26
Hong Kong,130,2,2,4,59
Canada,109,1,,1,11
Israel,100,0,1,,3
Greece,99,1,2,,
Czech Republic,94,0,0,0,0
Iceland,85,0,,,
Kuwait,80,0,4,,5
UAE,74,0,2,,20
India,73,0,,,4
Iraq,71,8,,,15
Thailand,70,1,1,,35
Egypt,67,1,,,27
San Marino,62,2,5,,
Lebanon,61,3,,3,
Finland,59,0,,,1
Portugal,59,0,,,
Slovenia,57,0,0,0,0
Brazil,52,0,,,
Philippines,52,2,1,,2
Taiwan,49,1,0,0,20
Romania,48,0,,,6
Poland,47,0,2,0,0
Saudi Arabia,45,0,,,1
Ireland,43,1,,,
Vietnam,39,0,,,16
Indonesia,34,1,,,
Russia,34,0,,,3
Palestine,30,0,,,
Algeria,24,1,,,
Georgia,24,0,1,,
Chile,23,0,,,
Costa Rica,22,0,1,,
Argentina,21,1,,,
Pakistan,19,0,,,2
Croatia,19,0,,,
Serbia,19,0,,,
Luxembourg,19,0,,,
Oman,18,0,0,0,9
Peru,17,0,,,
Ecuador,17,0,,1,
South Africa,17,0,,,
Latvia,16,0,,,
Albania,15,1,,,
Hungary,13,0,0,0,0
Belarus,12,0,,,3
Mexico,12,0,1,,4
Azerbaijan,11,0,,,3
Bosnia,11,0,,,
Macau,10,0,,,6
Estonia,10,0,0,0,0
Slovakia,10,0,,,
Colombia,9,0,,,
Panama,8,1,,,
Maldives,8,0,,,
Afghanistan,7,0,,,
North Macedonia,7,0,0,0,0
Bulgaria,7,1,,,
Malta,7,0,,,
Tunisia,7,0,,,
Cyprus,6,0,,,
Morocco,6,1,,,
New Zealand,5,0,,,
Dominican Republic,5,0,,,
Paraguay,5,0,1,,
Senegal,4,0,0,0,0
Bangladesh,3,0,,,
Lithuania,3,0,,,
Cambodia,3,0,,,1
Moldova,3,0,,,
Honduras,2,0,,,
Cameroon,2,0,,,
Nigeria,2,0,0,0,0
Sri Lanka,2,0,,,1
Jamaica,2,0,,,
Togo,1,0,,,
Nepal,1,0,,,1
Monaco,1,0,,,
Ukraine,1,0,,,
Jordan,1,0,,,
Andorra,1,0,,,
Armenia,1,0,,,
Liechtenstein,1,0,,,
Bhutan,1,0,,,
Gibraltar,1,0,1,,
Vatican City,1,0,,,
Turkey,1,0,,,
Queue,2850,15,,,
TOTAL,136449,4960,5585,63,69841
