china,location,Cases,Deaths,Notes,Links
inside,Hubei province (includes Wuhan),66337,2727,"7,370 serious",Source
inside,Guangdong province,1349,7,"18 serious, 20 critical",Source
inside,Henan province,1272,21,"7 serious, 6 critical",Source
inside,Zhejiang province,1205,1,"10 serious, 9 critical",Source
inside,Hunan province,1018,4,19 serious,Source
inside,Beijing,411,8,,Source
inside,Shanghai,337,3,10 serious,Source
inside,Other regions,7322,64,,Source
inside,TOTAL,79251,2835,"7,664 serious39,002 recovered1,418 suspected",
outside,South Korea,3150,17,"10 critical, 24 recovered",Source
outside,Italy,889,21,"64 serious, 46 recovered",Source
outside,Diamond Princess,705,6,"36 serious, 10 recovered",Source
outside,Iran,593,43,123 recovered,Source
outside,Japan,241*,5,"20 serious, 32 recovered",Source
outside,Singapore,102,0,"7 critical, 72 recovered",Source
outside,Hong Kong,93,2,"4 critical, 2 serious, 18 recovered",Source
outside,Germany,79,0,"2 critical, 16 recovered",Source
outside,United States,66,0,"1 serious, 7 recovered",Source
outside,France,73,2,"1 serious, 12 recovered",Source
outside,Spain,45,0,"1 serious, 2 recovered",Source
outside,Kuwait,45,0,,Source
outside,Thailand,42,0,"2 critical, 28 recovered",Source
outside,Taiwan,39,1,5 recovered,Source
outside,Bahrain,41,0,,Source
outside,Malaysia,25,0,17 recovered,Source
outside,Australia,25,0,15 recovered,Source
outside,United Kingdom,23,0,8 recovered,Source
outside,UAE,19,0,"2 serious, 5 recovered",Source
outside,Vietnam,16,0,16 recovered,Source
outside,Canada,16,0,3 recovered,Source
outside,Sweden,12,0,,Source
outside,Macau,10,0,6 recovered,Source
outside,Iraq,13,0,,Source
outside,Israel,7,0,,Source
outside,Oman,6,0,1 recovered,Source
outside,Philippines,3,1,2 recovered,Source
outside,India,3,0,3 recovered,Source
outside,Finland,3,0,1 recovered,Source
outside,Russia,2,0,2 recovered,Source
outside,Nepal,1,0,1 recovered,Source
outside,Cambodia,1,0,1 recovered,Source
outside,Sri Lanka,1,0,1 recovered,Source
outside,Belgium,1,0,1 recovered,Source
outside,Egypt,1,0,1 recovered,Source
outside,Lebanon,4,0,,Source
outside,Afghanistan,1,0,,Source
outside,Austria,9,0,,Source
outside,Croatia,6,0,,Source
outside,Switzerland,8,0,,Source
outside,Algeria,1,0,,Source
outside,Brazil,1,0,,Source
outside,Greece,4,0,,Source
outside,Pakistan,4,0,,Source
outside,North Macedonia,1,0,,Source
outside,Georgia,3,0,,Source
outside,Norway,7,0,,Source
outside,Romania,3,0,,Source
outside,Denmark,3,0,,Source
outside,Estonia,1,0,,Source
outside,Netherlands,6,0,,Source
outside,San Marino,1,0,,Source
outside,Nigeria,1,0,,Source
outside,Lithuania,1,0,,Source
outside,New Zealand,1,0,,Source
outside,Belarus,1,0,,Source
outside,Mexico,3,0,,Source
outside,Azerbaijan,1,0,,Source
outside,Iceland,1,0,,Source
outside,Monaco,1,0,,Source
outside,Qatar,1,0,,Source
outside,Ecuador,1,0,,Source
outside,TOTAL,6466,98,154 serious/critical,
critical,
