Country Name,2013,china,Cases,Deaths,Serious,Critical,Recovered
Afghanistan,0.5,outside,1,0,,,
Andorra,,outside,1,0,,,
Argentina,4.9,outside,1,0,,,
Armenia,4.1,outside,1,0,,,
Australia,,outside,43,2,,,21
Austria,7.6,outside,29,0,,,
Azerbaijan,4.7,outside,3,0,,,
Belgium,6.3,outside,23,0,1,,1
Bahrain,2.1,outside,49,0,,,1
Belarus,11,outside,6,0,,,
Brazil,2.3,outside,4,0,,,
Canada,,outside,33,0,,,3
Switzerland,4.7,outside,80,0,,,
Chile,2.2,outside,1,0,,,
Czech Republic,6.5,outside,8,0,0,0,0
Germany,8.3,outside,262,0,,2,16
Denmark,3.1,outside,10,0,,,
Dominican Republic,1.6,outside,1,0,,,
Algeria,,outside,17,0,,,
Ecuador,1.5,outside,7,0,,1,
Egypt,0.5,outside,2,0,,,1
Spain,3,outside,202,1,7,,2
Estonia,5,outside,2,0,0,0,0
Finland,4.9,outside,7,0,,,1
France,6.5,outside,285,4,15,,12
United Kingdom,2.8,outside,85,0,,,8
Georgia,2.6,outside,3,0,,,
Greece,,outside,8,0,,,
Hong Kong,,outside,101,2,2,4,36
Croatia,5.9,outside,9,0,,,
Hungary,7,outside,2,0,0,0,0
Indonesia,,outside,2,0,,,
India,,outside,28,0,,,3
Ireland,2.8,outside,6,0,,,
Iran,1.5,outside,2922,92,,,552
Iraq,1.3,outside,35,2,,,
Iceland,3.2,outside,26,0,,,
Israel,3.1,outside,15,0,,,
Italy,,outside,3089,107,297,,276
Jordan,1.8,outside,1,0,,,
Japan,,outside,319,6,29,,10
Cambodia,0.7,outside,1,0,,,1
South Korea,,outside,5621,35,27,25,34
Kuwait,2.2,outside,56,0,0,0,0
Lebanon,2.9,outside,13,0,,,
Liechtenstein,,outside,1,0,,,
Sri Lanka,,outside,1,0,,,1
Lithuania,7.3,outside,1,0,,,
Luxembourg,5.1,outside,1,0,,,
Latvia,5.8,outside,1,0,,,
Morocco,0.9,outside,1,0,,,
Monaco,,outside,1,0,,,
Mexico,1.6,outside,5,0,,,1
North Macedonia,4.4,outside,1,0,,,
Malaysia,,outside,50,0,,,22
Nigeria,,outside,1,0,,,
Netherlands,,outside,38,0,1,,
Norway,3.9,outside,48,0,,,
Nepal,,outside,1,0,,,1
New Zealand,2.8,outside,2,0,,,
Oman,1.7,outside,12,0,,,2
Pakistan,0.6,outside,5,0,,,
Philippines,,outside,3,1,,,2
Poland,6.5,outside,1,0,0,0,0
Portugal,3.4,outside,5,0,,,
Qatar,1.4,outside,8,0,,,
Romania,6.3,outside,6,0,,,
Saudi Arabia,2.2,outside,2,0,,,
Senegal,,outside,4,0,0,0,0
Singapore,2.1,outside,110,0,,7,78
San Marino,,outside,16,1,3,,
Sweden,2.6,outside,52,0,,,
Thailand,,outside,43,1,1,,30
Tunisia,2.1,outside,1,0,,,
Ukraine,8.8,outside,1,0,,,
United States,2.9,outside,154,11,2,6,9
Vietnam,,outside,16,0,,,16
