UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links
Washington,79,13,,,,Source
California,64,1,,1,1,Source
New York,44,0,0,0,0,Source
Massachusetts,8,0,,,,Source
Colorado,8,0,,,,
Texas,6,0,,,,Source
Illinois,5,0,,,2,Source
Florida,4,0,,,,Source
Maryland,3,0,0,0,0,Source
Oregon,3,0,,,,Source
Georgia,3,0,,,,Source
Arizona,3,0,,,,Source
New Hampshire,2,0,,,,Source
Pennsylvania,2,0,,,,Source
Rhode Island,2,0,,,,Source
New Jersey,2,0,,,,Source
Nevada,2,0,,,,Source
North Carolina,2,0,,,,Source
Indiana,1,0,,,,Source
Tennessee,1,0,,,,Source
Kentucky,1,0,,,,Source
Wisconsin,1,0,,,,Source
Nebraska,1,0,,,,Source
Wuhan,3,0,,,,
Grand Princess,21,0,,,,Source
Diamond Princess,45,0,,,2,
U.S. TOTAL,316,14,0,0,5,
