UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,date2,unixtime
Washington,79,13,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
California,64,1,,1,1,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
New York,44,0,0,0,0,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Massachusetts,8,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Colorado,8,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Texas,6,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Illinois,5,0,,,2,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Florida,4,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
New Jersey,4,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Maryland,3,0,0,0,0,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Oregon,3,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Georgia,3,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Arizona,3,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Rhode Island,3,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
New Hampshire,2,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Pennsylvania,2,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Nevada,2,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
North Carolina,2,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Oklahoma,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Indiana,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Tennessee,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Kentucky,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Wisconsin,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Nebraska,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Hawaii,1,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Wuhan,3,0,,,,,Fri Mar  6 17:55:17 PST 2020,1583546117
Grand Princess,21,0,,,,Source,Fri Mar  6 17:55:17 PST 2020,1583546117
Diamond Princess,45,0,,,2,,Fri Mar  6 17:55:17 PST 2020,1583546117
U.S. TOTAL,321,14,0,0,5,,Fri Mar  6 17:55:17 PST 2020,1583546117
