NAME,POPESTIMATE2019,Cases,Deaths,Serious,Critical,Recovered,Links,Postal,Hospital Count
Arizona,7278717,5,0,,,,Source,AZ,94
California,39512223,83,1,,1,1,Source,CA,383
Colorado,5758736,8,0,,,,Source,CO,91
Florida,21477737,11,2,,,,Source,FL,211
Georgia,10617423,5,0,,,,Source,GA,147
Hawaii,1415872,1,0,,,,Source,HI,25
Illinois,12671821,5,0,,,2,Source,IL,194
Indiana,6732219,1,0,,,,Source,IN,147
Kansas,2913314,1,0,,,,Source,KS,139
Kentucky,4467673,1,0,,,,Source,KY,102
Maryland,6045680,3,0,0,0,0,Source,MD,56
Massachusetts,6892503,13,0,,,,Source,MA,78
Minnesota,5639632,1,0,,,,Source,MN,138
Missouri,6137428,1,0,,,,Source,MO,123
Nebraska,1934408,1,0,,,,Source,NE,91
Nevada,3080156,2,0,,,,Source,NV,45
New Hampshire,1359711,2,0,,,,Source,NH,28
New Jersey,8882190,4,0,,,,Source,NJ,80
New York,19453561,89,0,,,0,Source,NY,194
North Carolina,10488084,2,0,,,,Source,NC,120
Oklahoma,3956971,1,0,,,,Source,OK,130
Oregon,4217737,7,0,,,,Source,OR,62
Pennsylvania,12801989,4,0,,,,Source,PA,190
Rhode Island,1059361,3,0,,,,Source,RI,12
South Carolina,5148714,2,0,,,,Source,SC,67
Tennessee,6829174,1,0,,,,Source,TN,118
Texas,28995881,6,0,,,,Source,TX,457
Utah,3205958,1,0,,,,Source,UT,52
Virginia,8535519,1,0,,,,Source,VA,95
Washington,7614893,103,16,,,,Source,WA,101
Wisconsin,5822434,1,0,,,,Source,WI,136
