1,Updated throughout the day,Updated throughout the day,Updated throughout the day,Updated throughout the day,Updated throughout the day,Updated throughout the day,,
2,CASES,DEATHS,DEATHS,RECOVERED,RECOVERED,,,
3,4270,70,70,8,8,,,
4,,,,,,,,
5,UNITED STATES,Cases,Deaths,Serious,Critical,Recovered,Links,
6,New York,950,7,60,,,Source,
7,Washington,769,42,,,1,Source,
8,California,335,6,,1,1,Source,
9,New Jersey,176,2,,,,Source,
10,Florida,155,4,,,,Source,
11,Massachusetts,164,0,,,,Source,
12,Colorado,131,1,,,,Source,
13,Georgia,121,1,,,,Source,
14,Louisiana,114,2,,,,Source,
15,Illinois,93,0,,,2,Source,
16,Pennsylvania,63,0,,1,,Source,
17,Texas,56,0,,1,,Source,
18,Minnesota,54,0,,1,,Source,
19,Michigan,53,0,,,,Source,
20,Virginia,51,1,,,,Source,
21,Ohio,50,0,,,,Source,
22,Diamond Princess,46,0,,,2,Source,
23,Tennessee,39,0,,,,Source,
24,Oregon,39,1,,,,Source,
25,Maryland,37,0,,,0,Source,
26,North Carolina,33,0,,,,Source,
27,Wisconsin,32,0,,,1,Source,
28,Utah,28,0,,,,Source,
29,South Carolina,28,1,,,,Source,
30,Connecticut,26,0,,,,Source,
31,Nevada,26,0,,,,Source,
32,Indiana,24,0,,,,Source,
33,Alabama,22,0,,,,Source,
34,Iowa,22,0,,,,Source,
35,Arkansas,22,0,,,,Source,
36,Grand Princess,21,0,,,,Source,
37,Kentucky,21,0,,,,Source,
38,Rhode Island,21,0,,,,Source,
39,Nebraska,18,0,,,,Source,
40,Arizona,18,0,,,1,Source,
41,New Mexico,17,0,,,,Source,
42,Maine,17,0,,,,Source,
43,District of Columbia,16,0,,,,Source,
44,New Hampshire,13,0,,,,Source,
45,Mississippi,12,0,,,,Source,
46,Vermont,12,0,,,,Source,
47,South Dakota,10,1,,,,Source,
48,Oklahoma,10,0,,,,Source,
49,Kansas,7,1,,,,Source,
50,Delaware,7,0,,,,Source,
51,Hawaii,7,0,,,,Source,
52,Montana,6,0,,,,Source,
53,Missouri,6,0,,,,Source,
54,Puerto Rico,5,0,,,,Source,
55,Idaho,5,0,,,,Source,
56,Wuhan,3,0,,,,,
57,Guam,3,0,,,,,
58,Wyoming,3,0,,,,Source,
59,Alaska,1,0,,,,Source,
60,U.S. Virgin Islands,1,0,,,,Source,
61,North Dakota,1,0,,,,Source,
62,West Virginia,0,0,,,,,
63,American Samoa,0,0,,,,,
64,Northern Mariana Islands,0,0,,,,,
65,,250,0,,,,,
66,U.S. TOTAL,4270,70,60,4,8,,
67,,,,,,,,
