COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Fri Mar  6 12:43:33 PST 2020,1583527413
LOS ANGELES,9818605,11,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SANTA CLARA,1781642,20,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SAN FRANCISCO,805235,5,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SAN DIEGO,3095313,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
MARIN,252409,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SONOMA,483878,2,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SOLANO,413344,13,0,Fri Mar  6 12:43:33 PST 2020,1583527413
NAPA,136484,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
HUMBOLDT,134623,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SACRAMENTO,1418788,2,0,Fri Mar  6 12:43:33 PST 2020,1583527413
ALAMEDA,1510271,2,0,Fri Mar  6 12:43:33 PST 2020,1583527413
PLACER,348432,2,1,Fri Mar  6 12:43:33 PST 2020,1583527413
SAN MATEO,718451,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
CONTRA COSTA,1049025,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
KINGS,2504700,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
SANTA ROSA,151372,1,0,Fri Mar  6 12:43:33 PST 2020,1583527413
