COUNTY,POPULATION_2010,CONFIRMED,CONFIRMED_2,date2,unixtime
ORANGE,3010232,6,6,Fri Mar 13 12:03:09 PDT 2020,1584126189
LOS ANGELES,9818605,32,32,Fri Mar 13 12:03:09 PDT 2020,1584126189
SANTA CLARA,1781642,66,66,Fri Mar 13 12:03:09 PDT 2020,1584126189
SAN FRANCISCO,805235,21,21,Fri Mar 13 12:03:09 PDT 2020,1584126189
SAN DIEGO,3095313,5,5,Fri Mar 13 12:03:09 PDT 2020,1584126189
MARIN,252409,4,4,Fri Mar 13 12:03:09 PDT 2020,1584126189
SONOMA,483878,2,2,Fri Mar 13 12:03:09 PDT 2020,1584126189
SACRAMENTO,1418788,16,16,Fri Mar 13 12:03:09 PDT 2020,1584126189
SOLANO,413344,12,12,Fri Mar 13 12:03:09 PDT 2020,1584126189
NAPA,136484,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
HUMBOLDT,134623,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
ALAMEDA,1510271,29,29,Fri Mar 13 12:03:09 PDT 2020,1584126189
PLACER,348432,8,8,Fri Mar 13 12:03:09 PDT 2020,1584126189
SAN MATEO,718451,20,20,Fri Mar 13 12:03:09 PDT 2020,1584126189
CONTRA COSTA,1049025,9,9,Fri Mar 13 12:03:09 PDT 2020,1584126189
YOLO,200849,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
MADERA,150865,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
SANTA CRUZ,262382,2,2,Fri Mar 13 12:03:09 PDT 2020,1584126189
FRESNO,930450,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
RIVERSIDE,2189641,6,6,Fri Mar 13 12:03:09 PDT 2020,1584126189
SHASTA,177223,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
VENTURA,823318,2,2,Fri Mar 13 12:03:09 PDT 2020,1584126189
LAKE,703462,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
STANISLAUS,514453,2,2,Fri Mar 13 12:03:09 PDT 2020,1584126189
ORANGE,372813,3,3,Fri Mar 13 12:03:09 PDT 2020,1584126189
TULARE,442179,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
DUVAL,864263,1,1,Fri Mar 13 12:03:09 PDT 2020,1584126189
