COUNTY,POPULATION_2010,ACTIVE,CONFIRMED,date2,unixtime
ORANGE,3010232,TRUE,6,Fri Mar 13 17:44:30 PDT 2020,1584146670
LOS ANGELES,9818605,TRUE,40,Fri Mar 13 17:44:30 PDT 2020,1584146670
SANTA CLARA,1781642,TRUE,66,Fri Mar 13 17:44:30 PDT 2020,1584146670
SAN FRANCISCO,805235,TRUE,21,Fri Mar 13 17:44:30 PDT 2020,1584146670
SAN DIEGO,3095313,TRUE,5,Fri Mar 13 17:44:30 PDT 2020,1584146670
MARIN,252409,TRUE,4,Fri Mar 13 17:44:30 PDT 2020,1584146670
SONOMA,483878,TRUE,2,Fri Mar 13 17:44:30 PDT 2020,1584146670
SACRAMENTO,1418788,TRUE,16,Fri Mar 13 17:44:30 PDT 2020,1584146670
SOLANO,413344,TRUE,12,Fri Mar 13 17:44:30 PDT 2020,1584146670
NAPA,136484,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
HUMBOLDT,134623,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
ALAMEDA,1510271,TRUE,29,Fri Mar 13 17:44:30 PDT 2020,1584146670
PLACER,348432,TRUE,8,Fri Mar 13 17:44:30 PDT 2020,1584146670
SAN MATEO,718451,TRUE,20,Fri Mar 13 17:44:30 PDT 2020,1584146670
CONTRA COSTA,1049025,TRUE,25,Fri Mar 13 17:44:30 PDT 2020,1584146670
YOLO,200849,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
MADERA,150865,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
SANTA CRUZ,262382,TRUE,2,Fri Mar 13 17:44:30 PDT 2020,1584146670
FRESNO,930450,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
RIVERSIDE,2189641,TRUE,6,Fri Mar 13 17:44:30 PDT 2020,1584146670
SHASTA,177223,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
VENTURA,823318,TRUE,2,Fri Mar 13 17:44:30 PDT 2020,1584146670
LAKE,703462,TRUE,2,Fri Mar 13 17:44:30 PDT 2020,1584146670
STANISLAUS,514453,TRUE,2,Fri Mar 13 17:44:30 PDT 2020,1584146670
ORANGE,372813,TRUE,3,Fri Mar 13 17:44:30 PDT 2020,1584146670
TULARE,442179,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
DUVAL,864263,TRUE,1,Fri Mar 13 17:44:30 PDT 2020,1584146670
