COUNTY,HOSPITALS
ABBEVILLE,1
ACADIA,2
ACCOMACK,1
ADA,5
ADAIR,4
ADAMS,15
ADDISON,1
AGUADILLA,1
AIBONITO,2
AIKEN,1
AITKIN,1
ALACHUA,2
ALAMANCE,1
ALAMEDA,16
ALAMOSA,1
ALBANY,5
ALBEMARLE,1
ALCORN,1
ALEXANDRIA CITY,1
ALGER,1
ALLAMAKEE,1
ALLEGAN,1
ALLEGANY,4
ALLEGHANY,2
ALLEGHENY,18
ALLEN,15
ALLENDALE,1
ALPENA,1
AMADOR,1
ANCHORAGE,6
ANDERSON,6
ANDREWS,1
ANDROSCOGGIN,2
ANGELINA,3
ANNE ARUNDEL,2
ANOKA,2
ANSON,1
ANTELOPE,1
APACHE,4
APPANOOSE,1
APPLING,1
ARAPAHOE,4
ARCHULETA,1
ARECIBO,2
ARENAC,1
ARKANSAS,2
ARLINGTON,2
ARMSTRONG,1
AROOSTOOK,4
ASCENSION,2
ASHE,1
ASHLAND,2
ASHLEY,1
ASHTABULA,5
ASOTIN,1
ASSUMPTION,1
ATASCOSA,1
ATCHISON,2
ATHENS,2
ATLANTIC,3
ATOKA,1
ATTALA,1
AUDRAIN,1
AUDUBON,1
AUGLAIZE,1
AUGUSTA,1
AUSTIN,1
AUTAUGA,1
AVERY,1
AVOYELLES,3
BACA,1
BACON,1
BAILEY,1
BAKER,2
BALDWIN,5
BALTIMORE,7
BALTIMORE CITY,14
BANNOCK,1
BARAGA,1
BARBER,2
BARBOUR,2
BARNES,1
BARNSTABLE,3
BARREN,1
BARRON,3
BARROW,1
BARRY,3
BARTHOLOMEW,1
BARTON,4
BARTOW,1
BASTROP,1
BATES,1
BATH,1
BAXTER,2
BAY,4
BAYAMON,4
BAYLOR,1
BEADLE,1
BEAR LAKE,1
BEAUFORT,4
BEAUREGARD,2
BEAVER,4
BEAVERHEAD,1
BECKER,1
BECKHAM,1
BEDFORD,3
BEE,1
BELKNAP,1
BELL,7
BELMONT,2
BELTRAMI,3
BEN HILL,1
BENEWAH,1
BENNETT,1
BENNINGTON,1
BENTON,10
BENZIE,1
BERGEN,7
BERKELEY,1
BERKS,5
BERKSHIRE,2
BERNALILLO,7
BERRIEN,3
BERTIE,1
BETHEL,1
BEXAR,18
BIBB,4
BIENVILLE,1
BIG HORN,4
BIG STONE,2
BINGHAM,3
BLACK HAWK,3
BLACKFORD,1
BLADEN,1
BLAINE,4
BLAIR,3
BLECKLEY,1
BLEDSOE,1
BLOUNT,2
BLUE EARTH,1
BOLIVAR,1
BON HOMME,2
BOND,1
BONNER,1
BONNEVILLE,2
BOONE,8
BOSQUE,1
BOSSIER,1
BOTTINEAU,1
BOULDER,6
BOUNDARY,1
BOURBON,1
BOWIE,2
BOWMAN,1
BOX BUTTE,1
BOX ELDER,2
BOYD,3
BOYLE,1
BRADFORD,4
BRADLEY,2
BRANCH,1
BRAXTON,1
BRAZORIA,3
BRAZOS,5
BREATHITT,1
BRECKINRIDGE,1
BREMER,2
BREVARD,9
BREWSTER,1
BRISTOL,8
BROADWATER,1
BRONX,7
BROOKINGS,1
BROOKS,1
BROOME,3
BROOMFIELD,1
BROWARD,17
BROWN,15
BRULE,1
BRUNSWICK,3
BRYAN,1
BUCHANAN,5
BUCKS,8
BUENA VISTA,1
BUFFALO,2
BULLOCH,1
BULLOCK,1
BUNCOMBE,2
BUREAU,2
BURKE,3
BURLEIGH,2
BURLESON,1
BURLINGTON,6
BURNET,2
BURNETT,1
BURT,1
BUTLER,12
BUTTE,5
BUTTS,1
CABARRUS,1
CABELL,4
CABO ROJO,1
CACHE,2
