Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Case PerCapita,Death PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Death/Recovered,D/(D+R)
Afghanistan,34656032,4,0,,,,00.0000001154,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Andorra,77281,1,0,,,,00.0000129398,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Argentina,43847430,9,1,,,,00.0000002053,00.0000000228,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,01.0000000000
Armenia,2924816,1,0,,,,00.0000003419,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Australia,24127159,77,3,,,22,00.0000031914,00.0000001243,00.0000000000,00.0000000000,00.0000009118,00.1363636364,00.1200000000
Austria,8747358,79,0,,,,00.0000090313,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Azerbaijan,9762274,6,0,,,,00.0000006146,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Belgium,11348159,169,0,1,,1,00.0000148923,00.0000000000,00.0000000881,00.0000000000,00.0000000881,00.0000000000,00.0000000000
Bahrain,1425171,62,0,,,6,00.0000435036,00.0000000000,00.0000000000,00.0000000000,00.0000042100,00.0000000000,00.0000000000
Belarus,9507120,6,0,,,,00.0000006311,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Brazil,207652865,19,0,,,,00.0000000915,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Bhutan,797765,1,0,,,,00.0000012535,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Canada,36286425,60,0,,1,8,00.0000016535,00.0000000000,00.0000000000,00.0000000276,00.0000002205,00.0000000000,00.0000000000
Switzerland,8372098,264,1,,,3,00.0000315333,00.0000001194,00.0000000000,00.0000000000,00.0000003583,00.3333333333,00.2500000000
Chile,17909754,5,0,,,,00.0000002792,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Cameroon,23439189,2,0,,,,00.0000000853,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Colombia,48653419,1,0,,,,00.0000000206,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Czech Republic,10561633,19,0,0,0,0,00.0000017990,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Germany,82667685,800,0,,2,17,00.0000096773,00.0000000000,00.0000000000,00.0000000242,00.0000002056,00.0000000000,00.0000000000
Denmark,5731118,15,0,,,,00.0000026173,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Dominican Republic,10648791,1,0,,,,00.0000000939,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Algeria,40606052,17,0,,,,00.0000004187,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Ecuador,16385068,14,0,,1,,00.0000008544,00.0000000000,00.0000000000,00.0000000610,00.0000000000,#DIV/0!,#DIV/0!
Egypt,95688681,48,0,,,1,00.0000005016,00.0000000000,00.0000000000,00.0000000000,00.0000000105,00.0000000000,00.0000000000
Spain,46443959,516,10,11,,30,00.0000111102,00.0000002153,00.0000002368,00.0000000000,00.0000006459,00.3333333333,00.2500000000
Estonia,1316481,5,0,0,0,0,00.0000037980,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Finland,5495096,19,0,,,1,00.0000034576,00.0000000000,00.0000000000,00.0000000000,00.0000001820,00.0000000000,00.0000000000
France,66896109,949,16,21,,12,00.0000141862,00.0000002392,00.0000003139,00.0000000000,00.0000001794,01.3333333333,00.5714285714
United Kingdom,65637239,209,2,,,12,00.0000031842,00.0000000305,00.0000000000,00.0000000000,00.0000001828,00.1666666667,00.1428571429
Georgia,3719300,9,0,1,,,00.0000024198,00.0000000000,00.0000002689,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Gibraltar,34408,1,0,1,,,00.0000290630,00.0000000000,00.0000290630,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Greece,10746740,66,0,1,,,00.0000061414,00.0000000000,00.0000000931,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Hong Kong,7346700,108,2,2,4,51,00.0000147005,00.0000002722,00.0000002722,00.0000005445,00.0000069419,00.0392156863,00.0377358491
Croatia,4170600,10,0,,,,00.0000023977,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Hungary,9817958,2,0,0,0,0,00.0000002037,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Indonesia,261115456,4,0,,,,00.0000000153,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
India,1324171354,34,0,,,3,00.0000000257,00.0000000000,00.0000000000,00.0000000000,00.0000000023,00.0000000000,00.0000000000
Ireland,4773095,19,0,,,,00.0000039806,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Iran,80277428,5823,145,,,1669,00.0000725360,00.0000018062,00.0000000000,00.0000000000,00.0000207904,00.0868783703,00.0799338479
Iraq,37202572,46,3,,,,00.0000012365,00.0000000806,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,01.0000000000
Iceland,334252,50,0,,,,00.0001495877,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Israel,8547100,17,0,,,,00.0000019890,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Italy,60600590,5883,233,462,,589,00.0000970783,00.0000038448,00.0000076237,00.0000000000,00.0000097194,00.3955857385,00.2834549878
Jordan,9455802,1,0,,,,00.0000001058,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Japan,126994511,461,6,29,,10,00.0000036301,00.0000000472,00.0000002284,00.0000000000,00.0000000787,00.6000000000,00.3750000000
Cambodia,15762370,2,0,,,1,00.0000001269,00.0000000000,00.0000000000,00.0000000000,00.0000000634,00.0000000000,00.0000000000
South Korea,51245707,7134,50,,36,118,00.0001392117,00.0000009757,00.0000000000,00.0000007025,00.0000023026,00.4237288136,00.2976190476
Kuwait,4052584,61,0,0,0,0,00.0000150521,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Lebanon,6006668,28,0,,1,,00.0000046615,00.0000000000,00.0000000000,00.0000001665,00.0000000000,#DIV/0!,#DIV/0!
Liechtenstein,37666,1,0,,,,00.0000265491,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Sri Lanka,21203000,1,0,,,1,00.0000000472,00.0000000000,00.0000000000,00.0000000000,00.0000000472,00.0000000000,00.0000000000
Lithuania,2872298,1,0,,,,00.0000003482,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Luxembourg,582972,3,0,,,,00.0000051460,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Latvia,1960424,1,0,,,,00.0000005101,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Morocco,35276786,2,0,,,,00.0000000567,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Monaco,38499,1,0,,,,00.0000259747,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Mexico,127540423,6,0,,,1,00.0000000470,00.0000000000,00.0000000000,00.0000000000,00.0000000078,00.0000000000,00.0000000000
Malaysia,31187265,93,0,,,23,00.0000029820,00.0000000000,00.0000000000,00.0000000000,00.0000007375,00.0000000000,00.0000000000
Nigeria,185989640,1,0,,,,00.0000000054,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Netherlands,17018408,188,1,1,,,00.0000110469,00.0000000588,00.0000000588,00.0000000000,00.0000000000,#DIV/0!,01.0000000000
Norway,5232929,156,0,,,,00.0000298112,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Nepal,28982771,1,0,,,1,00.0000000345,00.0000000000,00.0000000000,00.0000000000,00.0000000345,00.0000000000,00.0000000000
New Zealand,4692700,5,0,,,,00.0000010655,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Oman,4424762,16,0,,,2,00.0000036160,00.0000000000,00.0000000000,00.0000000000,00.0000004520,00.0000000000,00.0000000000
Pakistan,193203476,5,0,,,,00.0000000259,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Philippines,103320222,6,1,1,,2,00.0000000581,00.0000000097,00.0000000097,00.0000000000,00.0000000194,00.5000000000,00.3333333333
Poland,37948016,5,0,0,0,0,00.0000001318,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Portugal,10324611,21,0,,,,00.0000020340,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Qatar,2569804,12,0,,,,00.0000046696,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Romania,19705301,13,0,,,3,00.0000006597,00.0000000000,00.0000000000,00.0000000000,00.0000001522,00.0000000000,00.0000000000
Saudi Arabia,32275687,7,0,,,,00.0000002169,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Senegal,15411614,4,0,0,0,0,00.0000002595,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Singapore,5607283,138,0,,8,90,00.0000246108,00.0000000000,00.0000000000,00.0000014267,00.0000160506,00.0000000000,00.0000000000
San Marino,33203,16,1,3,,,00.0004818842,00.0000301178,00.0000903533,00.0000000000,00.0000000000,#DIV/0!,01.0000000000
Serbia,7057412,1,0,,,,00.0000001417,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Slovenia,2064845,12,0,0,0,0,00.0000058116,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Sweden,9903122,161,0,,,,00.0000162575,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Thailand,68863514,47,1,1,,31,00.0000006825,00.0000000145,00.0000000145,00.0000000000,00.0000004502,00.0322580645,00.0312500000
Tunisia,11403248,1,0,,,,00.0000000877,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
Ukraine,45004645,1,0,,,,00.0000000222,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
United States,323127513,439,19,2,6,9,00.0000013586,00.0000000588,00.0000000062,00.0000000186,00.0000000279,02.1111111111,00.6785714286
Vietnam,92701100,21,0,,,16,00.0000002265,00.0000000000,00.0000000000,00.0000000000,00.0000001726,00.0000000000,00.0000000000
South Africa,55908865,1,0,,,,00.0000000179,00.0000000000,00.0000000000,00.0000000000,00.0000000000,#DIV/0!,#DIV/0!
