COUNTY,POPULATION_2010,CONFIRMED,DEATHS,date2,unixtime
ORANGE,3010232,3,0,Thu Mar  5 16:19:10 PST 2020,1583453950
LOS ANGELES,9818605,7,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SANTA CLARA,1781642,14,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SAN FRANCISCO,805235,3,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SAN DIEGO,3095313,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
MARIN,252409,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SONOMA,483878,2,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SOLANO,413344,13,0,Thu Mar  5 16:19:10 PST 2020,1583453950
NAPA,136484,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
HUMBOLDT,134623,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
SACRAMENTO,1418788,2,0,Thu Mar  5 16:19:10 PST 2020,1583453950
ALAMEDA,1510271,2,0,Thu Mar  5 16:19:10 PST 2020,1583453950
WALLA WALLA,58781,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
PLACER,348432,2,1,Thu Mar  5 16:19:10 PST 2020,1583453950
SAN MATEO,718451,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
CONTRA COSTA,1049025,1,0,Thu Mar  5 16:19:10 PST 2020,1583453950
ORANGE,3010232,3,0,Thu Mar  5 16:20:17 PST 2020,1583454017
LOS ANGELES,9818605,7,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SANTA CLARA,1781642,14,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SAN FRANCISCO,805235,3,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SAN DIEGO,3095313,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
MARIN,252409,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SONOMA,483878,2,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SOLANO,413344,13,0,Thu Mar  5 16:20:17 PST 2020,1583454017
NAPA,136484,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
HUMBOLDT,134623,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
SACRAMENTO,1418788,2,0,Thu Mar  5 16:20:17 PST 2020,1583454017
ALAMEDA,1510271,2,0,Thu Mar  5 16:20:17 PST 2020,1583454017
WALLA WALLA,58781,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
PLACER,348432,2,1,Thu Mar  5 16:20:17 PST 2020,1583454017
SAN MATEO,718451,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
CONTRA COSTA,1049025,1,0,Thu Mar  5 16:20:17 PST 2020,1583454017
ORANGE,3010232,3,0,Thu Mar  5 16:42:35 PST 2020,1583455355
LOS ANGELES,9818605,7,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SANTA CLARA,1781642,14,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SAN FRANCISCO,805235,3,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SAN DIEGO,3095313,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
MARIN,252409,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SONOMA,483878,2,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SOLANO,413344,13,0,Thu Mar  5 16:42:35 PST 2020,1583455355
NAPA,136484,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
HUMBOLDT,134623,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
SACRAMENTO,1418788,2,0,Thu Mar  5 16:42:35 PST 2020,1583455355
ALAMEDA,1510271,2,0,Thu Mar  5 16:42:35 PST 2020,1583455355
WALLA WALLA,58781,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
PLACER,348432,2,1,Thu Mar  5 16:42:35 PST 2020,1583455355
SAN MATEO,718451,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
CONTRA COSTA,1049025,1,0,Thu Mar  5 16:42:35 PST 2020,1583455355
ORANGE,3010232,3,0,Thu Mar  5 16:50:13 PST 2020,1583455813
LOS ANGELES,9818605,7,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SANTA CLARA,1781642,14,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN FRANCISCO,805235,3,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN DIEGO,3095313,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
MARIN,252409,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SONOMA,483878,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SOLANO,413344,13,0,Thu Mar  5 16:50:13 PST 2020,1583455813
NAPA,136484,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
HUMBOLDT,134623,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
SACRAMENTO,1418788,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
ALAMEDA,1510271,2,0,Thu Mar  5 16:50:13 PST 2020,1583455813
WALLA WALLA,58781,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
PLACER,348432,2,1,Thu Mar  5 16:50:13 PST 2020,1583455813
SAN MATEO,718451,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
CONTRA COSTA,1049025,1,0,Thu Mar  5 16:50:13 PST 2020,1583455813
ORANGE,3010232,3,0,Thu Mar  5 17:12:48 PST 2020,1583457168
LOS ANGELES,9818605,7,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SANTA CLARA,1781642,14,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SAN DIEGO,3095313,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
MARIN,252409,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SONOMA,483878,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SOLANO,413344,13,0,Thu Mar  5 17:12:48 PST 2020,1583457168
NAPA,136484,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
HUMBOLDT,134623,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
SACRAMENTO,1418788,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
ALAMEDA,1510271,2,0,Thu Mar  5 17:12:48 PST 2020,1583457168
WALLA WALLA,58781,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
PLACER,348432,2,1,Thu Mar  5 17:12:48 PST 2020,1583457168
SAN MATEO,718451,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:12:48 PST 2020,1583457168
ORANGE,3010232,3,0,Thu Mar  5 17:15:56 PST 2020,1583457356
LOS ANGELES,9818605,7,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SANTA CLARA,1781642,14,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN FRANCISCO,805235,3,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN DIEGO,3095313,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
MARIN,252409,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SONOMA,483878,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SOLANO,413344,13,0,Thu Mar  5 17:15:56 PST 2020,1583457356
NAPA,136484,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
HUMBOLDT,134623,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
SACRAMENTO,1418788,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
ALAMEDA,1510271,2,0,Thu Mar  5 17:15:56 PST 2020,1583457356
WALLA WALLA,58781,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
PLACER,348432,2,1,Thu Mar  5 17:15:56 PST 2020,1583457356
SAN MATEO,718451,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
CONTRA COSTA,1049025,1,0,Thu Mar  5 17:15:56 PST 2020,1583457356
ORANGE,3010232,3,0,Thu Mar  5 17:20:05 PST 2020,1583457605
LOS ANGELES,9818605,7,0,Thu Mar  5 17:20:05 PST 2020,1583457605
SANTA CLARA,1781642,14,0,Thu Mar  5 17:20:05 PST 2020,1583457605
