"Country Name",2013
Aruba,
Afghanistan,0.5
Angola,
Albania,2.9
Andorra,
Arab World,1.15189919300725
United Arab Emirates,1.2
Argentina,4.9
Armenia,4.1
American Samoa,
Antigua and Barbuda,3.9
Australia,
Austria,7.6
Azerbaijan,4.7
Burundi,
Belgium,6.3
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,6.8
Bahrain,2.1
Bahamas,2.9
Bosnia and Herzegovina,3.5
Belarus,11
Belize,0.9
Bermuda,
Bolivia,1.1
Brazil,2.3
Barbados,6.2
Brunei Darussalam,
Bhutan,
Botswana,
Central African Republic,
Canada,
Central Europe and the Baltics,6.42144666078239
Switzerland,4.7
Channel Islands,
Chile,2.2
China,
Cote d'Ivoire,
Cameroon,
"Congo, Dem. Rep.",
"Congo, Rep.",
Colombia,1.5
Comoros,
Cabo Verde,
Costa Rica,1.1
Caribbean small states,2.26723392472779
Cuba,5.1
Curacao,
Cayman Islands,
Cyprus,3.4
Czech Republic,6.5
Germany,8.3
Djibouti,1.4
Dominica,
Denmark,3.1
Dominican Republic,1.6
Algeria,
East Asia & Pacific (excluding high income),
Early-demographic dividend,
East Asia & Pacific,
Europe & Central Asia (excluding high income),6.3536554875275
Europe & Central Asia,5.92492146211432
Ecuador,1.5
Egypt,0.5
Euro area,6.16749081248063
Eritrea,
Spain,3
Estonia,5
Ethiopia,
European Union,5.60145698850332
Fragile and conflict affected situations,
Finland,4.9
Fiji,
France,6.5
Faroe Islands,
Micronesia,
Gabon,
United Kingdom,2.8
Georgia,2.6
Ghana,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,3.7
Greenland,
Guatemala,
Guam,
Guyana,
High income,4.11059905053985
Hong Kong,
Honduras,0.7
Heavily indebted poor countries (HIPC),
Croatia,5.9
Haiti,0.7
Hungary,7
IBRD only,
IDA & IBRD total,
IDA total,
IDA blend,
Indonesia,
IDA only,
Isle of Man,
India,
Not classified,
Ireland,2.8
Iran,1.5
Iraq,1.3
Iceland,3.2
Israel,3.1
Italy,
Jamaica,1.7
Jordan,1.8
Japan,
Kazakhstan,6.7
Kenya,
Kyrgyz Republic,4.5
Cambodia,0.7
Kiribati,
St. Kitts and Nevis,
South Korea,
Kuwait,2.2
Latin America & Caribbean (excluding high income),2.12930928378679
Lao PDR,
Lebanon,2.9
Liberia,
Libya,3.7
St. Lucia,1.3
Latin America & Caribbean,2.13931163133949
Least developed countries: UN classification,
Low income,
Liechtenstein,
Sri Lanka,
Lower middle income,
Low & middle income,
Lesotho,
Late-demographic dividend,
Lithuania,7.3
Luxembourg,5.1
Latvia,5.8
Macao,
St. Martin (French part),
Morocco,0.9
Monaco,
Moldova,5.8
Madagascar,
Maldives,
Middle East & North Africa,1.31563228854746
Mexico,1.6
Marshall Islands,
Middle income,
North Macedonia,4.4
Mali,
Malta,4.8
Myanmar,
Middle East & North Africa (excluding high income),1.16300785053231
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Mauritius,
Malawi,
Malaysia,
North America,2.9
Namibia,
New Caledonia,
Niger,
Nigeria,
Nicaragua,0.9
Netherlands,
Norway,3.9
Nepal,
Nauru,
New Zealand,2.8
OECD members,3.81428042462959
Oman,1.7
Other small states,
Pakistan,0.6
Panama,2.3
Peru,1.5
Philippines,
Palau,
Papua New Guinea,
Poland,6.5
Pre-demographic dividend,
Puerto Rico,
North Korea,
Portugal,3.4
Paraguay,
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,4.60721290884284
French Polynesia,
Qatar,1.4
Romania,6.3
Russian Federation,8.2
Rwanda,
South Asia,
Saudi Arabia,2.2
Sudan,0.8
Senegal,
Singapore,2.1
Solomon Islands,
Sierra Leone,
El Salvador,1.1
San Marino,
Somalia,0.9
Serbia,
Sub-Saharan Africa (excluding high income),
South Sudan,
Sub-Saharan Africa,
Small states,
Sao Tome and Principe,
Suriname,
Slovak Republic,5.8
Slovenia,4.6
Sweden,2.6
Eswatini,
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,1.5
Turks and Caicos Islands,
Chad,
East Asia & Pacific (IDA & IBRD countries),
Europe & Central Asia (IDA & IBRD countries),6.36194887522994
Togo,
Thailand,
Tajikistan,4.8
Turkmenistan,7.4
Latin America & the Caribbean (IDA & IBRD countries),2.07488509973306
Timor-Leste,
Middle East & North Africa (IDA & IBRD countries),1.16300785053231
Tonga,
South Asia (IDA & IBRD),
Sub-Saharan Africa (IDA & IBRD countries),
Trinidad and Tobago,2.7
Tunisia,2.1
Turkey,2.7
Tuvalu,
Tanzania,
Uganda,
Ukraine,8.8
Upper middle income,
Uruguay,2.5
United States,2.9
Uzbekistan,4
St. Vincent and the Grenadines,2.5
Venezuela,
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,
Vanuatu,
World,
Samoa,
Kosovo,
Yemen,0.7
South Africa,
Zambia,
Zimbabwe,
