COUNTY,CONFIRMED
SNOHOMISH,1
COOK,1
ORANGE,1
MARICOPA,1
LOS ANGELES,1
COOK,1
SANTA CLARA,1
SUFFOLK,1
SAN FRANCISCO,2
SANTA CLARA,1
DANE,1
SAN DIEGO,1
BEXAR,2
DOUGLAS,11
HUMBOLDT,1
SACRAMENTO,1
BEXAR,2
SPOKANE,1
SAN FRANCISCO,1
DOUGLAS,1
SPOKANE,2
BEXAR,1
SPOKANE,1
SOLANO,1
BEXAR,5
SALT LAKE,1
DOUGLAS,1
SOLANO,1
NAPA,1
SOLANO,1
SACRAMENTO,1
MARIN,1
SONOMA,1
SACRAMENTO,1
SOLANO,8
SNOHOMISH,1
SANTA CLARA,1
BEXAR,1
WASHINGTON,1
KING,1
COOK,1
KING,3
SANTA CLARA,1
SOLANO,1
NEW YORK,1
SANTA CLARA,3
KING,5
MANATEE,1
HILLSBOROUGH,1
WASHINGTON,1
UNKNOWN,2
KING,2
ALAMEDA,1
NORFOLK,1
KING,3
GRAFTON,1
SNOHOMISH,1
SONOMA,1
PLACER,1
KING,1
FULTON,2
SAN MATEO,1
SANTA CLARA,2
WALLA WALLA,1
COOK,1
KING,7
WAKE,1
GRAFTON,1
SANTA CLARA,2
SNOHOMISH,1
NEW YORK,1
ORANGE,2
ALAMEDA,1
CONTRA COSTA,1
PLACER,1
MARICOPA,1
HILLSBOROUGH,1
SNOHOMISH,1
WESTCHESTER,1
LOS ANGELES,6
WESTCHESTER,5
KING,10
SNOHOMISH,2
SANTA CLARA,3
SNOHOMISH,1
FORT BEND,1
BERGEN,1
CHELAN,1
WESTCHESTER,2
KING,1
WESTCHESTER,1
SNOHOMISH,1
COOK,1
WESTCHESTER,7
NASSAU,1
SAN FRANCISCO,2
KING,3
SANTA ROSA,1
WILLIAMSON,1
KING,14
SNOHOMISH,2
WESTCHESTER,1
SNOHOMISH,6
KING,1
BERGEN,1
LOS ANGELES,4
HARRIS,2
JEFFERSON,1
MONTGOMERY,3
DOUGLAS,1
HARRIS,2
MIDDLESEX,1
SANTA CLARA,6
CLARK,1
WASHOE,1
NEW YORK,2
KING,1
POLK,1
CHATHAM,1
PINAL,1
MARION,1
ROCKLAND,2
NEW YORK,1
WESTCHESTER,8
SUFFOLK,3
NORFOLK,2
HARRIS,1
YOLO,1
CONTRA COSTA,3
CAMDEN,1
LOS ANGELES,2
PLACER,3
RAMSEY,1
KING,7
SNOHOMISH,1
JEFFERSON,1
DOUGLAS,1
WESTCHESTER,5
WAYNE,1
WESTCHESTER,2
NASSAU,3
FAYETTE,1
TULSA,1
SANTA CLARA,4
FORT BEND,2
UNKNOWN,1
DENVER,2
DOUGLAS,2
EAGLE,1
EL PASO,1
BERGEN,1
KERSHAW,1
CHARLESTON,1
COOK,1
HONOLULU,1
PIERCE,1
LEE,1
BROWARD,2
DAVIS,1
CLARK,1
DELAWARE,1
ALAMEDA,1
WESTCHESTER,1
FULTON,1
PINAL,2
MADERA,1
JACKSON,1
KLAMATH,1
WASHINGTON,1
JACKSON,1
KITTITAS,1
SARATOGA,2
WESTCHESTER,23
NEW YORK,7
MIDDLESEX,4
BERKSHIRE,1
KING,13
SNOHOMISH,8
GWINNETT,1
CHARLOTTE,1
LOS ANGELES,1
SAN FRANCISCO,6
SANTA CLARA,8
JOHNSON,1
MONTGOMERY,2
DISTRICT OF COLUMBIA,1
WESTCHESTER,13
SANTA CRUZ,1
FAIRFAX,1
OKALOOSA,1
VOLUSIA,1
ST. LOUIS,1
FRESNO,1
FULTON,1
MANATEE,1
PIERCE,2
BENNINGTON,1
GRAFTON,1
ROCKINGHAM,1
RIVERSIDE,1
LEE,1
COBB,1
MIDDLESEX,1
FORT BEND,1
ULSTER,1
SUFFOLK,1
NASSAU,1
WESTCHESTER,12
NEW YORK,1
SHELBY,1
DAVIDSON,1
FAIRFIELD,1
HENDRICKS,1
WASHOE,1
BERGEN,1
PASSAIC,1
COOK,1
DOUGLAS,1
MARION,1
WASHINGTON,5
KING,12
SANTA CLARA,5
NEW YORK,1
SUFFOLK,5
MIDDLESEX,3
FORT BEND,1
MIDDLESEX,1
NORFOLK,4
WORCESTER,1
KERSHAW,3
SPARTANBURG,1
HARFORD,1
MONTGOMERY,1
SNOHOMISH,5
PIERCE,1
SNOHOMISH,4
KITSAP,1
KING,7
SNOHOMISH,1
MONTGOMERY,2
CLARK,1
CONTRA COSTA,5
FAYETTE,1
HARRISON,1
JEFFERSON,1
DOUGLAS,2
BROWARD,1
JOHNSON,3
CARVER,1
PLACER,2
HARRIS,1
FULTON,1
CHEROKEE,1
COBB,2
HONOLULU,1
FAIRFAX,1
FORT BEND,1
WESTCHESTER,15
NEW YORK,6
NASSAU,12
ROCKLAND,2
FAIRFAX,1
MONTGOMERY,1
LARIMER,1
COLLIN,1
JEFFERSON,1
MONMOUTH,1
UNION,1
BERGEN,1
HUDSON,1
MONMOUTH,1
MARIN,1
CUYAHOGA,3
KERSHAW,1
LOS ANGELES,2
KING,26
MONROE,1
MONTGOMERY,2
ALAMEDA,21
COOK,4
RIVERSIDE,3
NOBLE,1
HENDRICKS,1
EAGLE,1
DENVER,1
POTTAWATTAMIE,1
FAIRFIELD,1
PIERCE,1
JOHNSON,4
FAYETTE,1
WAKE,5
PIMA,1
SNOHOMISH,9
VOLUSIA,1
PRINCE GEORGE'S,1
PIERCE,3
SHASTA,1
COBB,1
FAYETTE,1
GWINNETT,1
DEKALB,2
FAIRFAX,1
VIRGINIA BEACH CITY,1
SAN DIEGO,1
ARAPAHOE,1
SANTA CLARA,6
DISTRICT OF COLUMBIA,3
SACRAMENTO,6
SAN FRANCISCO,5
ORANGE,2
SAN MATEO,8
LOS ANGELES,1
FLOYD,1
SUFFOLK,1
NORFOLK,3
MIDDLESEX,5
BERKSHIRE,4
LOS ANGELES,2
WESTCHESTER,1
SANTA CRUZ,1
WILLIAMSON,1
KING,1
DANE,1
COLLIN,1
EAGLE,1
ARAPAHOE,1
GUNNISON,1
WILLIAMSON,2
TULSA,1
VENTURA,1
WESTCHESTER,10
NEW YORK,17
NASSAU,2
ROCKLAND,2
BERGEN,2
BURLINGTON,2
LOUDOUN,2
SAN FRANCISCO,1
MONTGOMERY,1
PRINCE GEORGE'S,2
ROCKINGHAM,1
KITSAP,1
LOS ANGELES,1
SULLIVAN,1
PHILADELPHIA,1
ANOKA,1
MULTNOMAH,1
BOONE,1
ADAMS,1
WEBER,1
KANE,1
MCHENRY,1
COOK,6
SNOHOMISH,8
MIDDLESEX,26
NORFOLK,12
SUFFOLK,10
BERKSHIRE,2
ESSEX,1
KERSHAW,2
ORLEANS,2
KING,3
COLLIN,1
KING,70
UNKNOWN,2
PIERCE,7
ALAMEDA,1
PENNINGTON,1
BEADLE,1
CHARLES MIX,1
DAVISON,1
MINNEHAHA,1
WHATCOM,1
MONTGOMERY,1
DALLAS,1
SAN JOAQUIN,1
HARRISON,2
JOHNSON,5
TARRANT,1
SNOHOMISH,8
JEFFERSON,1
DENVER,1
SANTA CLARA,2
SKAGIT,1
HARRIS,1
NASSAU,1
ALACHUA,1
COLLIER,3
PINELLAS,2
PASCO,1
DALLAS,1
OAKLAND,1
WAYNE,1
CHARLTON,1
FULTON,1
COBB,3
ORLEANS,3
DOUGLAS,1
MONTGOMERY,1
VIRGINIA BEACH CITY,1
BROWARD,1
DOUGLAS,1
BUCKS,1
HOWARD,1
JOHNSON,3
ARLINGTON,1
MONTGOMERY,1
MARICOPA,1
JEFFERSON,1
PINAL,1
CLARK,1
PINAL,1
KITTITAS,1
BERGEN,4
MIDDLESEX,2
MONMOUTH,2
