china,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
inside,Mainland China,80555,3042,5737,,53726,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,South Korea,6593,42,27,25,108,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Iran,4747,124,,,913,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Italy,4636,197,462,,523,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Diamond Princess,696,6,34,,40,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Germany,639,0,,2,17,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,France,423,7,23,,12,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Japan,350,6,29,,10,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Spain,296,3,7,,2,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,United States,253,14,2,6,9,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Sweden,136,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Netherlands,128,1,1,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Singapore,117,0,,7,81,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,United Kingdom,116,1,,,12,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Belgium,109,0,1,,1,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Hong Kong,105,2,2,4,36,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Norway,101,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Switzerland,80,1,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Malaysia,83,0,,,23,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Australia,61,2,,,22,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Kuwait,58,0,0,0,0,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Bahrain,49,0,,,1,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Canada,48,0,,1,8,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Austria,47,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Thailand,47,1,1,,31,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Taiwan,45,1,0,0,12,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Iraq,35,2,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Iceland,34,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Greece,31,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,India,30,0,,,3,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,UAE,27,0,2,,5,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Algeria,17,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Israel,17,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Vietnam,16,0,,,16,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,San Marino,16,1,3,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Lebanon,16,0,,1,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Oman,16,0,,,2,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Denmark,15,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Ecuador,13,0,,1,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Ireland,13,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Finland,12,0,,,1,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Macau,10,0,,,6,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Croatia,10,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Brazil,9,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Georgia,9,0,1,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Qatar,8,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Czech Republic,8,0,0,0,0,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Portugal,8,0,,,,Fri Mar  6 10:46:28 PST 2020,1583520388
inside,Romania,7,0,,,1,Fri Mar  6 10:46:28 PST 2020,1583520388
