4,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
5,Mainland China,80555,3042,5737,,53726,Fri Mar  6 10:57:19 PST 2020,1583521039
6,South Korea,6593,42,27,25,108,Fri Mar  6 10:57:19 PST 2020,1583521039
7,Iran,4747,124,,,913,Fri Mar  6 10:57:19 PST 2020,1583521039
8,Italy,4636,197,462,,523,Fri Mar  6 10:57:19 PST 2020,1583521039
9,Diamond Princess,696,6,34,,40,Fri Mar  6 10:57:19 PST 2020,1583521039
10,Germany,639,0,,2,17,Fri Mar  6 10:57:19 PST 2020,1583521039
11,France,613,9,23,,12,Fri Mar  6 10:57:19 PST 2020,1583521039
12,Japan,350,6,29,,10,Fri Mar  6 10:57:19 PST 2020,1583521039
13,Spain,296,3,7,,2,Fri Mar  6 10:57:19 PST 2020,1583521039
14,United States,254,14,2,6,9,Fri Mar  6 10:57:19 PST 2020,1583521039
15,Sweden,136,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
16,Netherlands,128,1,1,,,Fri Mar  6 10:57:19 PST 2020,1583521039
17,Singapore,117,0,,7,81,Fri Mar  6 10:57:19 PST 2020,1583521039
18,United Kingdom,116,1,,,12,Fri Mar  6 10:57:19 PST 2020,1583521039
19,Belgium,109,0,1,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
20,Hong Kong,105,2,2,4,36,Fri Mar  6 10:57:19 PST 2020,1583521039
21,Norway,101,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
22,Switzerland,80,1,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
23,Malaysia,83,0,,,23,Fri Mar  6 10:57:19 PST 2020,1583521039
24,Australia,61,2,,,22,Fri Mar  6 10:57:19 PST 2020,1583521039
25,Kuwait,58,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
26,Bahrain,49,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
27,Canada,48,0,,1,8,Fri Mar  6 10:57:19 PST 2020,1583521039
28,Austria,47,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
29,Thailand,47,1,1,,31,Fri Mar  6 10:57:19 PST 2020,1583521039
30,Taiwan,45,1,0,0,12,Fri Mar  6 10:57:19 PST 2020,1583521039
31,Iraq,35,2,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
32,Iceland,34,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
33,Greece,31,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
34,India,30,0,,,3,Fri Mar  6 10:57:19 PST 2020,1583521039
35,UAE,27,0,2,,5,Fri Mar  6 10:57:19 PST 2020,1583521039
36,Algeria,17,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
37,Israel,17,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
38,Vietnam,16,0,,,16,Fri Mar  6 10:57:19 PST 2020,1583521039
39,San Marino,16,1,3,,,Fri Mar  6 10:57:19 PST 2020,1583521039
40,Lebanon,16,0,,1,,Fri Mar  6 10:57:19 PST 2020,1583521039
41,Oman,16,0,,,2,Fri Mar  6 10:57:19 PST 2020,1583521039
42,Denmark,15,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
43,Ecuador,13,0,,1,,Fri Mar  6 10:57:19 PST 2020,1583521039
44,Ireland,13,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
45,Finland,12,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
46,Macau,10,0,,,6,Fri Mar  6 10:57:19 PST 2020,1583521039
47,Croatia,10,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
48,Brazil,9,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
49,Georgia,9,0,1,,,Fri Mar  6 10:57:19 PST 2020,1583521039
50,Qatar,8,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
51,Czech Republic,8,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
52,Portugal,8,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
53,Romania,7,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
54,Belarus,6,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
55,Azerbaijan,6,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
56,Slovenia,6,0,,,0,Fri Mar  6 10:57:19 PST 2020,1583521039
57,Mexico,5,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
58,Estonia,5,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
59,Saudi Arabia,5,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
60,Pakistan,5,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
61,Philippines,5,1,1,,2,Fri Mar  6 10:57:19 PST 2020,1583521039
62,Poland,5,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
63,Chile,5,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
64,Senegal,4,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
65,Palestine,4,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
66,Russia,4,0,,,2,Fri Mar  6 10:57:19 PST 2020,1583521039
67,New Zealand,4,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
68,Indonesia,4,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
69,Egypt,3,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
70,Hungary,2,0,0,0,0,Fri Mar  6 10:57:19 PST 2020,1583521039
71,Morocco,2,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
72,Bosnia,2,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
73,Luxembourg,2,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
74,Nepal,1,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
75,Cambodia,1,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
76,Sri Lanka,1,0,,,1,Fri Mar  6 10:57:19 PST 2020,1583521039
77,Afghanistan,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
78,North Macedonia,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
79,Nigeria,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
80,Lithuania,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
81,Monaco,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
82,Ukraine,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
83,Latvia,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
84,Tunisia,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
85,Jordan,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
86,Andorra,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
87,Armenia,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
88,Dominican Republic,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
89,Argentina,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
90,Liechtenstein,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
91,Bhutan,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
92,Gibraltar,1,0,1,,,Fri Mar  6 10:57:19 PST 2020,1583521039
93,Serbia,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
94,Vatican City,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
95,Cameroon,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
96,South Africa,1,0,,,,Fri Mar  6 10:57:19 PST 2020,1583521039
97,TOTAL,101193,3456,6334,47,55630,Fri Mar  6 10:57:19 PST 2020,1583521039
