OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,,53726,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
South Korea,6593,42,27,25,108,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Iran,4747,124,,,913,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Italy,4636,197,462,,523,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Diamond Princess,696,6,34,,40,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Germany,639,0,,2,17,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
France,613,9,23,,12,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Japan,350,6,29,,10,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Spain,296,3,7,,2,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
United States,259,14,2,6,9,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Sweden,136,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Netherlands,128,1,1,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Singapore,117,0,,7,81,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
United Kingdom,116,1,,,12,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Belgium,109,0,1,,1,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Hong Kong,105,2,2,4,36,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Norway,101,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Switzerland,80,1,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Malaysia,83,0,,,23,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Australia,61,2,,,22,,Fri Mar  6 11:12:24 PST 2020,1583521944
Kuwait,58,0,0,0,0,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Austria,55,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Bahrain,49,0,,,1,,Fri Mar  6 11:12:24 PST 2020,1583521944
Canada,48,0,,1,8,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Thailand,47,1,1,,31,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Taiwan,45,1,0,0,12,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Iraq,35,2,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Iceland,34,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Greece,31,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
India,30,0,,,3,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
UAE,27,0,2,,5,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Algeria,17,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Israel,17,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Vietnam,16,0,,,16,,Fri Mar  6 11:12:24 PST 2020,1583521944
San Marino,16,1,3,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Lebanon,16,0,,1,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Oman,16,0,,,2,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Denmark,15,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Ecuador,13,0,,1,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Ireland,13,0,,,,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Finland,12,0,,,1,Source,Fri Mar  6 11:12:24 PST 2020,1583521944
Macau,10,0,,,6,,Fri Mar  6 11:12:24 PST 2020,1583521944
