OTHER PLACES,Cases,Deaths,Serious,Recovered,date2,unixtime
Mainland China,80555,3042,5737,53726,Fri Mar  6 16:18:21 PST 2020,1583540301
South Korea,6593,42,27,108,Fri Mar  6 16:18:21 PST 2020,1583540301
Iran,4747,124,,913,Fri Mar  6 16:18:21 PST 2020,1583540301
Italy,4636,197,462,523,Fri Mar  6 16:18:21 PST 2020,1583540301
Diamond Princess,696,6,34,40,Fri Mar  6 16:18:21 PST 2020,1583540301
Germany,639,0,,17,Fri Mar  6 16:18:21 PST 2020,1583540301
France,613,9,23,12,Fri Mar  6 16:18:21 PST 2020,1583540301
Japan,350,6,29,10,Fri Mar  6 16:18:21 PST 2020,1583540301
United States,317,14,2,9,Fri Mar  6 16:18:21 PST 2020,1583540301
Spain,296,3,7,2,Fri Mar  6 16:18:21 PST 2020,1583540301
Switzerland,210,1,,,Fri Mar  6 16:18:21 PST 2020,1583540301
United Kingdom,164,1,,12,Fri Mar  6 16:18:21 PST 2020,1583540301
Sweden,136,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Singapore,130,0,,82,Fri Mar  6 16:18:21 PST 2020,1583540301
Netherlands,128,1,1,,Fri Mar  6 16:18:21 PST 2020,1583540301
Belgium,109,0,1,1,Fri Mar  6 16:18:21 PST 2020,1583540301
Hong Kong,108,2,2,51,Fri Mar  6 16:18:21 PST 2020,1583540301
Norway,101,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Malaysia,83,0,,23,Fri Mar  6 16:18:21 PST 2020,1583540301
Australia,61,2,,22,Fri Mar  6 16:18:21 PST 2020,1583540301
Kuwait,58,0,0,0,Fri Mar  6 16:18:21 PST 2020,1583540301
Austria,55,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Bahrain,49,0,,1,Fri Mar  6 16:18:21 PST 2020,1583540301
Canada,52,0,,8,Fri Mar  6 16:18:21 PST 2020,1583540301
Thailand,47,1,1,31,Fri Mar  6 16:18:21 PST 2020,1583540301
Taiwan,45,1,0,12,Fri Mar  6 16:18:21 PST 2020,1583540301
Greece,45,0,1,,Fri Mar  6 16:18:21 PST 2020,1583540301
Iraq,35,2,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Iceland,34,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
India,30,0,,3,Fri Mar  6 16:18:21 PST 2020,1583540301
UAE,27,0,2,5,Fri Mar  6 16:18:21 PST 2020,1583540301
Czech Republic,19,0,0,0,Fri Mar  6 16:18:21 PST 2020,1583540301
Ireland,18,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Algeria,17,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Israel,17,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Vietnam,17,0,,16,Fri Mar  6 16:18:21 PST 2020,1583540301
San Marino,16,1,3,,Fri Mar  6 16:18:21 PST 2020,1583540301
Lebanon,16,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
Oman,16,0,,2,Fri Mar  6 16:18:21 PST 2020,1583540301
Denmark,15,0,,,Fri Mar  6 16:18:21 PST 2020,1583540301
