OTHER PLACES,Cases,Deaths,Serious,Recovered,,date2,unixtime
Mainland China,80555,3042,5737,53726,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
South Korea,6593,42,27,108,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Iran,4747,124,,913,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Italy,4636,197,462,523,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Diamond Princess,696,6,34,40,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Germany,639,0,,17,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
France,613,9,23,12,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Japan,350,6,29,10,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
United States,317,14,2,9,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Spain,296,3,7,2,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Switzerland,210,1,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
United Kingdom,164,1,,12,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Sweden,136,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Singapore,130,0,,82,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Netherlands,128,1,1,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Belgium,109,0,1,1,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Hong Kong,108,2,2,51,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Norway,101,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Malaysia,83,0,,23,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Australia,61,2,,22,,Fri Mar  6 16:19:12 PST 2020,1583540352
Kuwait,58,0,0,0,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Austria,55,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Bahrain,49,0,,1,,Fri Mar  6 16:19:12 PST 2020,1583540352
Canada,52,0,,8,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Thailand,47,1,1,31,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Taiwan,45,1,0,12,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Greece,45,0,1,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Iraq,35,2,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Iceland,34,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
India,30,0,,3,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
UAE,27,0,2,5,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Czech Republic,19,0,0,0,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Ireland,18,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Algeria,17,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Israel,17,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Vietnam,17,0,,16,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
San Marino,16,1,3,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Lebanon,16,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Oman,16,0,,2,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Denmark,15,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Ecuador,13,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Brazil,13,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Finland,12,0,,1,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Macau,10,0,,6,,Fri Mar  6 16:19:12 PST 2020,1583540352
Croatia,10,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Georgia,9,0,1,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Qatar,8,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Portugal,8,0,,,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
Romania,8,0,,3,Source,Fri Mar  6 16:19:12 PST 2020,1583540352
