OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,date2,unixtime
Mainland China,80695,3097,5264,,57065,Sat Mar  7 19:08:44 PST 2020,1583636924
South Korea,7134,50,,36,118,Sat Mar  7 19:08:44 PST 2020,1583636924
Iran,5823,145,,,1669,Sat Mar  7 19:08:44 PST 2020,1583636924
Italy,5883,233,462,,589,Sat Mar  7 19:08:44 PST 2020,1583636924
Germany,800,0,,2,17,Sat Mar  7 19:08:44 PST 2020,1583636924
Diamond Princess,696,7,33,,40,Sat Mar  7 19:08:44 PST 2020,1583636924
France,949,16,21,,12,Sat Mar  7 19:08:44 PST 2020,1583636924
Spain,516,10,11,,30,Sat Mar  7 19:08:44 PST 2020,1583636924
Japan,461,6,29,,10,Sat Mar  7 19:08:44 PST 2020,1583636924
United States,439,19,2,6,9,Sat Mar  7 19:08:44 PST 2020,1583636924
Switzerland,264,1,,,3,Sat Mar  7 19:08:44 PST 2020,1583636924
United Kingdom,209,2,,,12,Sat Mar  7 19:08:44 PST 2020,1583636924
Sweden,161,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Singapore,138,0,,8,90,Sat Mar  7 19:08:44 PST 2020,1583636924
Netherlands,188,1,1,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Norway,156,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Belgium,169,0,1,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Hong Kong,108,2,2,4,51,Sat Mar  7 19:08:44 PST 2020,1583636924
Malaysia,93,0,,,23,Sat Mar  7 19:08:44 PST 2020,1583636924
Austria,79,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Australia,77,3,,,22,Sat Mar  7 19:08:44 PST 2020,1583636924
Greece,66,0,1,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Bahrain,62,0,,,6,Sat Mar  7 19:08:44 PST 2020,1583636924
Kuwait,61,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Canada,60,0,,1,8,Sat Mar  7 19:08:44 PST 2020,1583636924
Iceland,50,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Egypt,48,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Thailand,47,1,1,,31,Sat Mar  7 19:08:44 PST 2020,1583636924
Iraq,46,3,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Taiwan,45,1,0,0,12,Sat Mar  7 19:08:44 PST 2020,1583636924
UAE,45,0,2,,7,Sat Mar  7 19:08:44 PST 2020,1583636924
India,34,0,,,3,Sat Mar  7 19:08:44 PST 2020,1583636924
Lebanon,28,0,,1,,Sat Mar  7 19:08:44 PST 2020,1583636924
Portugal,21,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Vietnam,21,0,,,16,Sat Mar  7 19:08:44 PST 2020,1583636924
Czech Republic,19,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Finland,19,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Brazil,19,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Ireland,19,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Algeria,17,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Israel,17,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
San Marino,16,1,3,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Oman,16,0,,,2,Sat Mar  7 19:08:44 PST 2020,1583636924
Denmark,15,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Russia,15,0,,,3,Sat Mar  7 19:08:44 PST 2020,1583636924
Ecuador,14,0,,1,,Sat Mar  7 19:08:44 PST 2020,1583636924
Romania,13,0,,,3,Sat Mar  7 19:08:44 PST 2020,1583636924
Qatar,12,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Slovenia,12,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Macau,10,0,,,6,Sat Mar  7 19:08:44 PST 2020,1583636924
Croatia,10,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Georgia,9,0,1,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Argentina,9,1,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Saudi Arabia,7,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Belarus,6,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Azerbaijan,6,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Mexico,6,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Philippines,6,1,1,,2,Sat Mar  7 19:08:44 PST 2020,1583636924
New Zealand,5,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Estonia,5,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Pakistan,5,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Poland,5,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Chile,5,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Senegal,4,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Palestine,4,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Indonesia,4,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Afghanistan,4,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Luxembourg,3,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Hungary,2,0,0,0,0,Sat Mar  7 19:08:44 PST 2020,1583636924
Morocco,2,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Bosnia,2,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Cameroon,2,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Cambodia,2,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Nepal,1,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
Sri Lanka,1,0,,,1,Sat Mar  7 19:08:44 PST 2020,1583636924
North Macedonia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Nigeria,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Lithuania,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Monaco,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Ukraine,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Latvia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Tunisia,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
Jordan,1,0,,,,Sat Mar  7 19:08:44 PST 2020,1583636924
