# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-01-30 11:05:15 CST
# place|confirmed_cases|deaths|notes|sources
|4586|162|待明确地区：治愈 30|
|428|0||
|311|0|待明确地区治愈 1 例|
|278|2|待明确地区：死亡 2 治愈 2|
|277|0||
|200|0||
|165|0||
|162|0||
|145|0||
|142|1||
|129|0||
|111|1|待明确地区：死亡 1|
|101|1|治愈数据统一归属上海市公卫临床中心，暂无具体分区|
|101|0||
|78|0||
|70|0||
|65|1||
|56|0||
|43|1||
|43|1||
|39|0||
|35|0||
|28|0||
|26|0||
|16|0||
|14|0||
|14|0||
|12|0||
|12|0||
|10|0||
|8|0||
|7|0||
|6|0||
|1|0||
CHINA TOTAL|7719|170||
