SAN JOAQUIN,80
TEHAMA,8
YOLO,14
SANTA CLARA,438
SANTA BARBARA,79
MENDOCINO,16
KERN,155
SANTA CRUZ,13
LOS ANGELES,2192
NAPA,48
KINGS,22
TULARE,65
SONOMA,72
IMPERIAL,28
COUNTY_NAME,0
STANISLAUS,92
COLUSA,6
CALAVERAS,8
SAN LUIS OBISPO,48
SAN BERNARDINO,496
BUTTE,47
SOLANO,82
MONO,2
HUMBOLDT,26
MARIN,30
LAKE,8
AMADOR,6
TUOLUMNE,6
SISKIYOU,8
EL DORADO,28
CONTRA COSTA,169
SAN FRANCISCO,334
VENTURA,131
SACRAMENTO,376
RIVERSIDE,378
FRESNO,149
DEL NORTE,6
MERCED,24
SAN DIEGO,598
MONTEREY,30
SAN BENITO,4
INYO,4
NEVADA,8
SHASTA,70
ORANGE,622
YUBA,24
MADERA,52
ALAMEDA,291
SAN MATEO,96
PLACER,58
