1,Updated throughout the day,,,,,,,
2,,,,,,,,
3,CASES,DEATHS,DEATHS,RECOVERED,RECOVERED,UNRESOLVED,UNRESOLVED,
4,165934,6475,6475,75911,75911,83548,83548,
5,,,,,,,,
6,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,
7,China,80844,3199,3226,,66911,Source,
8,Italy,24747,1809,1672,,2335,Source,
9,Iran,13938,724,,,4339,Source,
10,South Korea,8162,75,,36,834,Source,
11,Spain,7843,292,272,,517,Source,
12,France,5423,127,300,,12,Source,
13,Germany,4585,12,,2,46,Source,
14,United States,3763,65,60,4,9,,
15,United Kingdom,1372,35,20,,18,Source,
16,Switzerland,1355,13,,,4,Source,
17,Norway,1120,3,,,,Source,
18,Netherlands,959,12,,45,2,Source,
19,Sweden,961,2,,,,Source,
20,Denmark,836,1,,,,Source,
21,Japan,805,22,32,,59,Source,
22,Austria,800,1,,,6,Source,
23,Diamond Princess,697,7,14,,245,Source,
24,Belgium,689,4,,,1,Source,
25,Qatar,337,0,,,4,Source,
26,Canada,264,1,,1,11,Source,
27,Australia,262,3,,,27,Source,
28,Czech Republic,253,0,2,0,0,Source,
29,Malaysia,238,0,5,,35,Source,
30,Greece,228,3,5,,8,Source,
31,Singapore,212,0,,14,105,Source,
32,Bahrain,212,0,,2,60,Source,
33,Finland,210,0,,,1,Source,
34,Brazil,200,0,,,1,Source,
35,Israel,193,0,2,,3,Source,
36,Slovenia,181,1,0,0,0,Source,
37,Ireland,169,2,,,,Source,
38,Portugal,169,0,,,,Source,
39,Iceland,161,0,1,,,Source,
40,Hong Kong,142,4,2,2,81,Source,
41,Egypt,126,2,,,27,Source,
42,Poland,125,3,2,0,0,Source,
43,Iraq,124,10,,,26,Source,
44,Romania,123,0,,,9,Source,
45,Saudi Arabia,118,0,,,2,Source,
46,Indonesia,117,5,,,5,Source,
47,Estonia,115,0,,,1,Source,
48,Thailand,114,1,1,,35,Source,
49,Kuwait,112,0,4,,9,Source,
50,Philippines,111,11,1,,2,Source,
51,India,109,2,,,10,Source,
52,San Marino,101,5,10,,4,Source,
53,Lebanon,93,3,,2,,Source,
54,United Arab Emirates,86,0,,,23,Source,
55,Peru,71,0,,,,Source,
56,Chile,61,0,,,,Source,
57,Russia,59,0,,,4,Source,
58,Taiwan,53,1,0,0,20,Source,
59,Luxembourg,51,1,,,,Source,
60,Vietnam,49,0,,,16,Source,
61,Serbia,46,0,1,,,Source,
62,Argentina,45,2,,,,Source,
63,Algeria,45,3,,,10,Source,
64,Slovakia,44,0,,,,Source,
65,Panama,43,1,,,,Source,
66,Mexico,41,0,1,,4,Source,
67,Bulgaria,41,2,,,,Source,
68,Palestine,38,0,0,0,0,Source,
69,South Africa,38,0,,,,Source,
70,Croatia,38,0,,,1,Source,
71,Albania,38,1,2,,,Source,
72,Colombia,34,0,,,,Source,
73,Georgia,30,0,1,,1,Source,
74,Pakistan,30,0,,,2,Source,
75,Hungary,30,0,,,0,Source,
76,Ecuador,28,2,,1,,Source,
77,Costa Rica,27,0,1,,,Source,
78,Belarus,27,0,,,3,Source,
79,Latvia,26,0,,,,Source,
80,Cyprus,26,0,,,,Source,
81,Senegal,24,0,,,0,Source,
82,Bosnia,21,0,,,,Source,
83,Armenia,20,0,,,,,
84,Oman,20,0,0,0,9,Source,
85,Azerbaijan,19,1,,,3,Source,
86,North Macedonia,19,0,0,0,0,Source,
87,Tunisia,18,0,,,,Source,
88,Malta,18,0,,,1,Source,
89,Morocco,18,1,,,,Source,
90,Venezuela,17,0,,,,Source,
91,Afghanistan,16,0,,,,Source,
92,Moldova,12,0,,,,Source,
93,Turkey,12,0,,,,Source,
94,Maldives,11,0,,,,Source,
95,Dominican Republic,11,0,,,,Source,
96,Macau,10,0,,,6,,
97,Sri Lanka,10,0,,,1,Source,
98,Bolivia,10,,,,,,
99,Lithuania,9,0,,,,Source,
100,Jamaica,8,0,,,,Source,
101,New Zealand,8,0,,,,Source,
102,Paraguay,7,0,1,,,Source,
103,Cambodia,7,0,,,1,Source,
104,Jordan,6,0,,,1,Source,
105,Bangladesh,5,0,,,,Source,
106,Uzbekistan,4,0,,,,Source,
107,Liechtenstein,4,0,,,,Source,
108,Ukraine,3,1,,,,Source,
109,Honduras,3,0,,,,Source,
110,Cameroon,2,0,,,,Source,
111,Nigeria,2,0,0,0,0,Source,
112,Monaco,2,0,,,,Source,
113,Seychelles,2,0,,,,Source,
114,Namibia,2,0,,,,Source,
115,Congo Republic,1,0,,,,Source,
116,DR Congo,1,0,,,,Source,
117,Mauritania,1,0,,,,Source,
118,Rwanda,1,0,,,,Source,
119,Central African Republic,1,0,,,,Source,
120,Togo,1,0,,,,Source,
121,Nepal,1,0,,,1,,
122,Andorra,1,0,,,,,
123,Bhutan,1,0,,,,Source,
124,Gibraltar,1,0,1,,,Source,
125,Vatican City,1,0,,,,Source,
126,QueueS,600,,,,,,
127,TOTAL,165934,6475,5639,109,75911,,
128,,,,,,,,
