county,state,population_2010,active,confirmed,deaths
New York,New York,1585873,True,330,1
Westchester,New York,949113,True,195,0
Nassau,New York,1339532,True,98,0
Rockland,New York,311687,True,13,1
Saratoga,New York,219607,True,3,0
Ulster,New York,182493,True,5,0
Suffolk,New York,1493350,True,47,0
Monroe,New York,744344,True,2,0
Albany,New York,304204,True,11,0
Delaware,New York,47980,True,1,0
Dutchess,New York,297488,True,7,0
Herkimer,New York,64519,True,1,0
Orange,New York,372813,True,6,0
Schenectady,New York,154727,True,2,0
Broome,New York,200600,True,1,0
Tioga,New York,51125,True,1,0
Tompkins,New York,101564,True,1,0
Erie,New York,919040,True,3,0
Montgomery,New York,50219,True,1,0
Greene,New York,49221,True,2,0
Putnam,New York,99710,True,2,0
