county,state,population_2010,confirmed,deaths,Unspecialized,CASE PERCAP,ICU PERCAP
New York,New York,1585873,7,0,653,00.00000441,00.00041176
Westchester,New York,949113,82,0,148,00.00008640,00.00015594
Kings,New York,2504700,4,0,301,00.00000160,00.00012017
Nassau,New York,1339532,5,0,265,00.00000373,00.00019783
Rockland,New York,311687,2,0,35,00.00000642,00.00011229
Saratoga,New York,219607,2,0,12,00.00000911,00.00005464
Queens,New York,2230722,1,0,191,00.00000045,00.00008562
Ulster,New York,182493,1,0,25,00.00000548,00.00013699
Suffolk,New York,1493350,1,0,216,00.00000067,00.00014464
Bronx,New York,1385108,1,0,205,00.00000072,00.00014800
