State,Confirmed Cases,Deaths,date2,unixtime
California,51,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Washington,32,9,Wed Mar  4 11:58:13 PST 2020,1583351893
Nebraska,13,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Texas,11,0,Wed Mar  4 11:58:13 PST 2020,1583351893
New York,6,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Illinois,4,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Florida,3,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Arizona,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Massachusetts,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Oregon,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Rhode Island,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
New Hampshire,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Georgia,2,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Wisconsin,1,0,Wed Mar  4 11:58:13 PST 2020,1583351893
Utah,1,0,Wed Mar  4 11:58:13 PST 2020,1583351893
North Carolina,1,0,Wed Mar  4 11:58:13 PST 2020,1583351893
