NAME,POPESTIMATE2019,Confirmed Cases,Deaths,date2,unixtime
Arizona,7278717,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
California,39512223,51,1,Wed Mar  4 15:08:20 PST 2020,1583363300
Florida,21477737,3,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Georgia,10617423,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Illinois,12671821,4,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Massachusetts,6892503,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Nebraska,1934408,13,0,Wed Mar  4 15:08:20 PST 2020,1583363300
New Hampshire,1359711,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
New York,19453561,11,0,Wed Mar  4 15:08:20 PST 2020,1583363300
North Carolina,10488084,1,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Oregon,4217737,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Rhode Island,1059361,2,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Texas,28995881,11,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Utah,3205958,1,0,Wed Mar  4 15:08:20 PST 2020,1583363300
Washington,7614893,44,10,Wed Mar  4 15:08:20 PST 2020,1583363300
Wisconsin,5822434,1,0,Wed Mar  4 15:08:20 PST 2020,1583363300
