date2,unixtime,adm0_a3,nyt_name,location,sublocation,lat,lon,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,is_country,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,mobile_table_name,sentence_name,label_offset_y,label,postal,confirmed,deaths,us_state_label,name
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,Australia,Australia,,-25.274,133.775,True,True,True,,,,,,True,True,True,Australia,,,,,,,,Australia,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,Canada,Canada,,56.13,-106.347,True,True,True,,,,,,True,True,True,Canada,,,,,,,,Canada,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,PHL,Philippines,Philippines,,12.88,121.774,True,True,True,,,,,,True,,,Philippines,right,True,,,,,,Philippines,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,China,Mainland China,,35.862,104.195,True,True,True,3,,,,,True,True,,China,,,,,China,China,,Mainland China,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,United States,US,,37.09,-95.713,True,True,True,,,,,,True,True,True,U.S.,,,,,U.S.,the United States,,US,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,BLM,Saint-Barthélemy,Saint Barthelemy,,17.898,-62.825,True,True,True,,,,,,True,,,Saint Barthelemy,,,,,St. Barts,,,Saint Barthelemy,,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CHN,,Mainland China,Tibet,31.6,84.27,True,,,,,,,,,,,Mainland China,,,,,,,,Tibet (Mainland China),,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,From Diamond Princess,-36.56,143.25,True,,,,,,,,,,,Australia,,,,,,,,From Diamond Princess (Australia),,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AUS,,Australia,Western Australia,-36.56,143.25,True,,,,,,,,,,,Australia,,,,,,,,Western Australia (Australia),,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,,Canada,"London, ON",51.4,-87.12,True,,,,,,,,,,,Canada,,,,,,,,"London, ON (Canada)",,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,,Canada,Ontario,51.4,-87.12,True,,,,,,,,,,,Canada,,,,,,,,Ontario (Canada),,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,CAN,,Canada,"Montreal, QC",51.4,-87.12,True,,,,,,,,,,,Canada,,,,,,,,"Montreal, QC (Canada)",,0,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AFG,Afghanistan,Afghanistan,,33.939,67.71,True,True,True,,JHU issue. Pls keep it,1,,0001-03-03,True,,,Afghanistan,,,,,,,,Afghanistan,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ARM,Armenia,Armenia,,40.069,45.038,True,True,True,,JHU issue. Pls keep it,1,,0001-03-03,True,,,Armenia,,,,,,,,Armenia,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,ARG,Argentina,Argentina,,-38.416,-63.617,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Argentina,,,,,,,,Argentina,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,DOM,Dominican Republic,Dominican Republic,,18.736,-70.163,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,,,Dominican Republic,,,,,,,,Dominican Republic,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,FRO,Faroe Islands,,,61.893,-6.912,True,True,False,,JHU issue,1,,0001-03-04,True,,,,,,,,,,,,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,JOR,Jordan,Jordan,,30.585,36.238,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,0001-03-02,True,,,Jordan,,,,,,,,Jordan,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,KHM,Cambodia,Cambodia,,12.566,104.991,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,0,0001-03-03,True,,,Cambodia,,,,,,,,Cambodia,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LKA,Sri Lanka,Sri Lanka,,7.873,80.772,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,,,Sri Lanka,,,,,,,,Sri Lanka,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LTU,Lithuania,Lithuania,,55.169,23.881,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,,,Lithuania,,,,,,,,Lithuania,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LUX,Luxembourg,Luxembourg,,49.815,6.13,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-03,True,,,Luxembourg,,,,,,,,Luxembourg,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MCO,Monaco,Monaco,,43.75,7.413,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Monaco,,,,,,,,Monaco,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MKD,Republic of Macedonia,North Macedonia,,41.609,21.745,True,True,True,,JHU issue,1,,0001-03-04,True,,,North Macedonia,,,,,,,,North Macedonia,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,NGA,Nigeria,Nigeria,,9.082,8.675,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,True,True,Nigeria,top,,,,,,,Nigeria,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,NPL,Nepal,Nepal,,28.395,84.124,True,True,True,,JHU dashboard but not sheet,1,,0001-03-03,True,,,Nepal,left,,,,,,,Nepal,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,SVN,Slovenia,,,46.151,14.995,True,True,True,,JHU table,1,,0001-03-05,True,,,,,,,,,,,,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,UKR,Ukraine,Ukraine,,48.379,31.166,True,True,True,,JHU table,1,,,True,,,Ukraine,,,,,,,,Ukraine,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,AND,Andorra,Andorra,,42.549,1.585,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Andorra,,,,,,,,Andorra,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LVA,Latvia,Latvia,,56.88,24.603,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Latvia,,,,,,,,Latvia,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,GIB,Gibraltar,Gibraltar,,36.138,-5.345,True,True,False,,https://twitter.com/GBCNewsroom/status/1234774651601063937,1,,0001-03-03,True,,,Gibraltar,,,,,,,,Gibraltar,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,MAR,Morocco,Morocco,,31.792,-7.093,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Morocco,,,,,,,,Morocco,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,TUN,Tunisia,Tunisia,,33.887,9.537,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Tunisia,,,,,,,,Tunisia,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,LIE,Liechtenstein,Liechtenstein,,47.166,9.555,True,True,True,,JH dashboard but not sheet,1,,0001-03-03,True,,,Liechtenstein,,,,,,,,Liechtenstein,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,POL,Poland,Poland,,51.919,19.145,True,True,True,,JHU issue,1,,0001-03-04,True,,,Poland,,,,,,,,Poland,,1,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Wisconsin,43.78444,-88.787868,True,,,,,,,,,,,,,,,,,,,,WI,1,0,Wis.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Utah,39.32098,-111.093731,True,,,,,,,,,,,,,,,,,,,,UT,1,0,Utah,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,North Carolina,35.759573,-79.0193,True,,,,,,,,,,,,,,,,,,,,NC,1,0,N.C.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Tennessee,35.517491,-86.580447,True,,,,,,,,,,,,,,,,,,,,TN,1,0,Tenn.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,USA,,US,Colorado,39.550051,-105.782067,True,,,,,,,,,,,,,,,,,,,,CO,1,0,Colo.,US
Thu Mar  5 20:52:07 PST 2020,1583470327,EST,Estonia,Estonia,,58.595,25.014,True,True,True,,JHU issue,2,,0001-03-04,True,,,Estonia,,,,,,,,Estonia,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,EGY,Egypt,Egypt,,26.821,30.802,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,0001-03-03,True,True,True,Egypt,,,,,,,,Egypt,,2,0,,
Thu Mar  5 20:52:07 PST 2020,1583470327,HUN,Hungary,,,47.162,19.503,True,True,True,,JHU issue,2,,0001-03-04,True,,,,,,,,,,,,,2,0,,
