date2,unixtime,adm0_a3,nyt_name,lat,lon,location,sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,mobile_table_name,world_map_label,world_map_label_desktop_only,world_map_label_name,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_location,jhu_sublocation,label,postal,confirmed,deaths,us_state_label,name
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,Australia,-25.274,133.775,Australia,,True,True,True,,,,,DO NOT OVERRIDE,,True,True,Australia,,,,,,,Australia,,Australia,,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,Canada,56.13,-106.347,Canada,,True,True,True,,,,,DO NOT OVERRIDE,,True,True,Canada,,,,,,,Canada,,Canada,,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MTQ,Martinique,14.642,-61.024,Martinique,,True,,False,,,,,,,,,Martinique,,,,,,,Martinique,,Martinique,,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,Mainland China,35.862,104.195,Mainland China,,True,True,True,3,,,,DO NOT OVERRIDE,China,True,,China,,,,,,China,Mainland China,,Mainland China,,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,United States,37.09,-95.713,US,,True,True,True,,,,,,U.S.,True,,U.S.,,,,,,the United States,US,,US,,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,31.6,84.27,Mainland China,Tibet,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Tibet,Tibet (Mainland China),,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-36.56,143.25,Australia,From Diamond Princess,True,,,,,,,,,,,Australia,,,,,,,Australia,From Diamond Princess,From Diamond Princess (Australia),,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-36.56,143.25,Australia,Western Australia,True,,,,,,,,,,,Australia,,,,,,,Australia,Western Australia,Western Australia (Australia),,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,,51.4,-87.12,Canada,"London, ON",True,,,,,,,,,,,Canada,,,,,,,Canada,"London, ON","London, ON (Canada)",,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,,51.4,-87.12,Canada,Ontario,True,,,,,,,,,,,Canada,,,,,,,Canada,Ontario,Ontario (Canada),,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,,51.4,-87.12,Canada,"Montreal, QC",True,,,,,,,,,,,Canada,,,,,,,Canada,"Montreal, QC","Montreal, QC (Canada)",,0,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AFG,Afghanistan,33.939,67.71,Afghanistan,,True,True,True,,JHU issue. Pls keep it,1,,Mar. 7,,,,Afghanistan,,,,,,,Afghanistan,,Afghanistan,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ARM,Armenia,40.069,45.038,Armenia,,True,True,True,,JHU issue. Pls keep it,1,,Mar. 7,,,,Armenia,,,,,,,Armenia,,Armenia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,BTN,Bhutan,27.514,90.434,Bhutan,,True,True,True,,JHU,1,,Mar. 6,,,,Bhutan,,,,,,,Bhutan,,Bhutan,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CMR,Cameroon,7.37,12.355,Cameroon,,True,True,True,,JHU issue,1,,Mar. 7,,,,Cameroon,,,,,,,Cameroon,,Cameroon,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,COL,Colombia,4.571,-74.297,Colombia,,True,True,True,,JHU issue,1,,Mar. 7,,,,Colombia,,,,,,,Colombia,,Colombia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CRI,Costa Rica,9.749,-83.753,Costa Rica,,True,True,True,,JHU issue,1,,Mar. 7,,,,Costa Rica,,,,,,,Costa Rica,,Costa Rica,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,FRO,Faroe Islands,61.893,-6.912,,,True,True,False,,JHU issue,1,,Mar. 7,,,,,,,,,,,,,,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,JOR,Jordan,30.585,36.238,Jordan,,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,Mar. 7,,,,Jordan,,,,,,,Jordan,,Jordan,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,KHM,Cambodia,12.566,104.991,Cambodia,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,0,Mar. 7,,,,Cambodia,,,,,,,Cambodia,,Cambodia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LKA,Sri Lanka,7.873,80.772,Sri Lanka,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 7,,,,Sri Lanka,,,,,,,Sri Lanka,,Sri Lanka,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LTU,Lithuania,55.169,23.881,Lithuania,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,Mar. 7,,,,Lithuania,,,,,,,Lithuania,,Lithuania,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MCO,Monaco,43.75,7.413,Monaco,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Monaco,,,,,,,Monaco,,Monaco,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MLT,Malta,35.937,14.375,Malta,,True,True,True,,NYT reporter Elian Peltier.,1,,Mar. 7,,,,Malta,,,,,,,Malta,,Malta,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,NGA,Nigeria,9.082,8.675,Nigeria,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,True,True,Nigeria,top,,,,,,Nigeria,,Nigeria,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,NPL,Nepal,28.395,84.124,Nepal,,True,True,True,,JHU dashboard but not sheet,1,,Mar. 7,,,,Nepal,left,,,,,,Nepal,,Nepal,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,PER,Peru,-9.19,-75.015,Peru,,True,True,True,,JHU,1,,Mar. 7,,,,Peru,,,,,,,Peru,,Peru,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,SRB,Serbia,44.017,21.006,Serbia,,True,True,True,,JHU issue,1,,Mar. 7,,,,Serbia,,,,,,,Serbia,,Serbia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,SVK,Slovakia,48.669,19.699,Slovakia,,True,True,True,,JHU,1,,Mar. 7,,,,Slovakia,,,,,,,Slovakia,,Slovakia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,TGO,Togo,8.62,0.825,Togo,,True,True,True,,JHU,1,,Mar. 7,,,,Togo,,,,,,,Togo,,Togo,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,UKR,Ukraine,48.379,31.166,Ukraine,,True,True,True,,JHU table,1,,Mar. 7,,,,Ukraine,,,,,,,Ukraine,,Ukraine,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,VAT,Holy See (Vatican City State),41.903,12.453,,,True,True,True,,JHU,1,,Mar. 7,,,,,,,,,,,,,,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ZAF,South Africa,-30.559,22.938,South Africa,,True,True,True,,JHU,1,,Mar. 7,,True,True,South Africa,,,,,,,South Africa,,South Africa,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AND,Andorra,42.549,1.585,Andorra,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Andorra,,,,,,,Andorra,,Andorra,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LVA,Latvia,56.88,24.603,Latvia,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Latvia,,,,,,,Latvia,,Latvia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,SAU,Saudi Arabia,23.886,45.079,Saudi Arabia,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Saudi Arabia,,,,,,,Saudi Arabia,,Saudi Arabia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,GIB,Gibraltar,36.138,-5.345,Gibraltar,,True,True,False,,JH dashboard but not sheet,1,,Mar. 7,,,,Gibraltar,,,,,,,Gibraltar,,Gibraltar,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,TUN,Tunisia,33.887,9.537,Tunisia,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Tunisia,,,,,,,Tunisia,,Tunisia,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LIE,Liechtenstein,47.166,9.555,Liechtenstein,,True,True,True,,JH dashboard but not sheet,1,,Mar. 7,,,,Liechtenstein,,,,,,,Liechtenstein,,Liechtenstein,,1,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,43.78444,-88.787868,US,Wisconsin,True,,,,,,,,,,,,,,,,,,,,,WI,1,0,Wis.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,35.517491,-86.580447,US,Tennessee,True,,,,,,,,,,,,,,,,,,,,,TN,1,0,Tenn.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,40.551217,-85.602364,US,Indiana,True,,,,,,,,,,,,,,,,,,,,,IN,1,0,Ind.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,46.729553,-94.6859,US,Minnesota,True,,,,,,,,,,,,,,,,,,,,,MN,1,0,Minn.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,37.839333,-84.270018,US,Kentucky,True,,,,,,,,,,,,,,,,,,,,,KY,1,0,Ky.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,35.007752,-97.092877,US,Oklahoma,True,,,,,,,,,,,,,,,,,,,,,OK,1,0,Okla.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,19.898682,-155.665857,US,Hawaii,True,,,,,,,,,,,,,,,,,,,,,HI,1,0,Hawaii,US
Sat Mar  7 14:48:05 PST 2020,1583621285,DOM,Dominican Rep.,18.736,-70.163,Dominican Republic,,True,True,True,,JHU issue,2,,Mar. 7,,,,Dominican Republic,,,,,,,Dominican Republic,,Dominican Republic,,2,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LUX,Luxembourg,49.815,6.13,Luxembourg,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,Mar. 7,,,,Luxembourg,,,,,,,Luxembourg,,Luxembourg,,2,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MAR,Morocco,31.792,-7.093,Morocco,,True,True,True,,JH dashboard but not sheet,2,,Mar. 7,,,,Morocco,,,,,,,Morocco,,Morocco,,2,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,39.32098,-111.093731,US,Utah,True,,,,,,,,,,,,,,,,,,,,,UT,2,0,Utah,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,43.193852,-71.572395,US,New Hampshire,True,,,,,,,,,,,,,,,,,,,,,NH,2,0,N.H.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,35.6029126,-77.4473952,US,North Carolina,True,,,,,,,,,,,,,,,,,,,,,NC,2,0,N.C.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,38.80261,-116.419389,US,Nevada,True,,,,,,,,,,,,,,,,,,,,,NV,2,0,Nev.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,41.203322,-77.194525,US,Pennsylvania,True,,,,,,,,,,,,,,,,,,,,,PA,2,0,Pa.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,33.836081,-81.163725,US,South Carolina,True,,,,,,,,,,,,,,,,,,,,,SC,2,0,S.C.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,BIH,Bosnia and Herzegovina,43.916,17.679,Bosnia and Herzegovina,,True,True,True,,JHU issue,3,,Mar. 7,,,,Bosnia and Herzegovina,,,,,,,Bosnia and Herzegovina,,Bosnia and Herzegovina,,3,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MKD,North Macedonia,41.609,21.745,North Macedonia,,True,True,True,,JHU issue; NYT name change as of Feb. 11,3,,Mar. 7,,,,North Macedonia,,,,,,,North Macedonia,,North Macedonia,,3,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,39.6,-71.64,US,Rhode Island,True,,,,,,,,,,,,,,,,,,,,,RI,3,0,R.I.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,39.045755,-76.641271,US,Maryland,True,,,,,,,,,,,,,,,,,,,,,MD,3,0,Md.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,CHL,Chile,-35.675,-71.543,Chile,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",4,,Mar. 7,,,,Chile,,,,,,,Chile,,Chile,,4,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,GEO,Georgia,42.315,43.357,Georgia,,True,True,True,,JHU issue. keep,4,,Mar. 7,,,,Georgia,,,,,,,Georgia,,Georgia,,4,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,HUN,Hungary,47.162,19.503,Hungary,,True,True,True,,JHU issue. keep,4,,Mar. 7,,,,Hungary,,,,,,,Hungary,,Hungary,,4,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,SEN,Senegal,14.497,-14.452,Senegal,,True,True,True,,JHU issue. keep,4,,Mar. 7,,,,Senegal,,,,,,,Senegal,,Senegal,,4,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,IDN,Indonesia,-0.789,113.921,Indonesia,,True,True,True,,JHU issue. Pls keep,4,,Mar. 7,,True,True,Indonesia,,,,,,,Indonesia,,Indonesia,,4,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,40.058324,-74.405661,US,New Jersey,True,,,,,,,,,,,,,,,,,,,,,NJ,4,0,N.J.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,NZL,New Zealand,-44.63,168.376,New Zealand,,True,True,True,,JHU issue,5,,Mar. 7,,True,True,New Zealand,top,,,,,,New Zealand,,New Zealand,,5,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,POL,Poland,51.919,19.145,Poland,,True,True,True,,JHU issue,5,,Mar. 7,,,,Poland,,,,,,,Poland,,Poland,,5,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,34.048928,-111.093731,US,Arizona,True,,,,,,,,,,,,,,,,,,,,,AZ,5,0,Ariz.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,BLR,Belarus,53.71,27.953,Belarus,,True,True,True,,,,,,,,,Belarus,,,,,,,Belarus,,Belarus,,6,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MEX,Mexico,23.635,-102.553,Mexico,,True,True,True,,,,,,,True,True,Mexico,right,,,,,,Mexico,,Mexico,,6,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,PHL,Philippines,12.88,121.774,Philippines,,True,True,True,,JHU issue,5,,Mar. 7,,,,Philippines,right,True,,,,,Philippines,,Philippines,,6,1,,
Sat Mar  7 14:48:05 PST 2020,1583621285,PAK,Pakistan,30.375,69.345,Pakistan,,True,True,True,,,,,,,,,Pakistan,,,,,,,Pakistan,,Pakistan,,6,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,40.633125,-89.398528,US,Illinois,True,,,,,,,,,,,,,,,,,,,,,IL,6,0,Ill.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,43.804133,-120.554201,US,Oregon,True,,,,,,,,,,,,,,,,,,,,,OR,6,0,Ore.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,32.157435,-82.907123,US,Georgia,True,,,,,,,,,,,,,,,,,,,,,GA,6,0,Ga.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,SVN,Slovenia,46.151,14.995,Slovenia,,True,True,True,,,,,,,,,Slovenia,,,,,,,Slovenia,,Slovenia,,7,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-34.93,138.61,Australia,South Australia,True,,,,,,,,,,,Australia,,,,,,,Australia,South Australia,South Australia (Australia),,7,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ARG,Argentina,-38.416,-63.617,Argentina,,True,True,True,,,,,,,True,True,Argentina,,,,,,,Argentina,,Argentina,,8,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,QAT,Qatar,25.343,50.657,Qatar,,True,True,True,,,,,,,,,Qatar,,,,,,,Qatar,,Qatar,,8,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,39.550051,-105.782067,US,Colorado,True,,,,,,,,,,,,,,,,,,,,,CO,8,0,Colo.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,AZE,Azerbaijan,40.143,47.577,Azerbaijan,,True,True,True,,,,,,,,,Azerbaijan,,,,,,,Azerbaijan,,Azerbaijan,,9,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ROU,Romania,45.943,24.967,Romania,,True,True,True,,,,,,,,,Romania,,,,,,,Romania,,Romania,,9,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,27.664827,-81.515754,US,Florida,True,,,,,,,,,,,,,,,,,,,,,FL,9,2,Fla.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,EST,Estonia,58.595,25.014,Estonia,,True,True,True,,,,,,,,,Estonia,,,,,,,Estonia,,Estonia,,10,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,MAC,Macau,22.199,113.544,Macau,Macau,True,True,False,,,,,,,,,Macau,,,,,,,Macau,Macau,Macau (Macau),,10,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-36.56,143.25,Australia,Victoria,True,,,,,,,,,,,Australia,,,,,,,Australia,Victoria,Victoria (Australia),,11,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,HRV,Croatia,45.1,15.2,Croatia,,True,True,True,,,,,,,,,Croatia,,,,,,,Croatia,,Croatia,,12,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,BRA,Brazil,-14.235,-51.925,Brazil,,True,True,True,,,,,,,True,True,Brazil,,,,,,,Brazil,,Brazil,,13,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ECU,Ecuador,-1.831,-78.183,Ecuador,,True,True,True,,,,,,,,,Ecuador,,,,,,,Ecuador,,Ecuador,,13,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,RUS,Russia,61.524,105.319,Russia,,True,True,True,,,,,,,True,True,Russia,,,,,,,Russia,,Russia,,13,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-20.918,142.703,Australia,Queensland,True,,,,,,,,,,,Australia,,,,,,,Australia,Queensland,Queensland (Australia),,13,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,42.138477,-69.3,US,Massachusetts,True,,,,,,,,,,,,,,,,,,,,,MA,13,0,Mass.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,41.492537,-99.901813,US,Nebraska,True,,,,,,,,,,,,,,,,,,,,,NE,14,0,Neb.,US
Sat Mar  7 14:48:05 PST 2020,1583621285,EGY,Egypt,26.821,30.802,Egypt,,True,True,True,,,,,,,True,True,Egypt,,,,,,,Egypt,,Egypt,,15,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,FIN,Finland,61.924,25.748,Finland,,True,True,True,,,,,,,,,Finland,,,,,,,Finland,,Finland,,15,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,OMN,Oman,21.513,55.923,Oman,,True,True,True,,,,,,,,,Oman,,,,,,,Oman,,Oman,,16,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,DZA,Algeria,28.034,1.66,Algeria,,True,True,True,,,,,,,True,True,Algeria,,,,,,,Algeria,,Algeria,,17,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,IRL,Ireland,53.413,-8.244,Ireland,,True,True,True,,,,,,,,,Ireland,,,,,,,Ireland,,Ireland,,18,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,VNM,Vietnam,14.058,108.277,Vietnam,,True,True,True,,,,,,,,,Vietnam,right,,,,,,Vietnam,,Vietnam,,18,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CHN,,35.39,93.99,Mainland China,Qinghai,True,,,,,,,,,,,Mainland China,,,,,,,Mainland China,Qinghai,Qinghai (Mainland China),,18,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CZE,Czech Republic,49.817,15.473,Czech Republic,,True,True,True,,,,,,Czechia,,,Czech Republic,,,,,,,Czech Republic,,Czech Republic,,19,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,USA,,31.968599,-99.901813,US,Texas,True,,,,,,,,,,,,,,,,,,,,,TX,19,0,Texas,US
Sat Mar  7 14:48:05 PST 2020,1583621285,PRT,Portugal,39.4,-8.224,Portugal,,True,True,True,,,,,,,,,Portugal,,,,,,,Portugal,,Portugal,,20,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,ISR,Israel,33,34.85,Israel,,True,True,True,,,,,,,True,True,Israel,,,,,,,Israel,,Israel,,21,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,,54.84,-125.1,Canada,British Columbia,True,,,,,,,,,,,Canada,,,,,,,Canada,British Columbia,British Columbia (Canada),,21,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,LBN,Lebanon,33.855,35.862,Lebanon,,True,True,True,,,,,,,,,Lebanon,,,,,,,Lebanon,,Lebanon,,22,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,PSE,West Bank & Gaza,31.952,35.233,Palestine,,True,True,False,,,,,,,,,Palestine,,,,,,,Palestine,,Palestine,,22,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,DNK,Denmark,56.264,9.502,Denmark,,True,True,True,,,,,,,,,Denmark,,,,,,,Denmark,,Denmark,,23,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,SMR,San Marino,43.942,12.458,San Marino,,True,True,True,,,,,,,,,San Marino,,,,,,,San Marino,,San Marino,,23,1,,
Sat Mar  7 14:48:05 PST 2020,1583621285,CAN,,51.4,-87.12,Canada,"Toronto, ON",True,,,,,,,,,,,Canada,,,,,,,Canada,"Toronto, ON","Toronto, ON (Canada)",,27,0,,
Sat Mar  7 14:48:05 PST 2020,1583621285,AUS,,-32.74,145.56,Australia,New South Wales,True,,,,,,,,,,,Australia,,,,,,,Australia,New South Wales,New South Wales (Australia),,28,1,,
