date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,MTQ,Martinique,14.642,-61.024,Martinique,,True,,False,,,,,,,Martinique,Martinique,,,,,,,,,Martinique,0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,GUF,French Guiana,3.934,-51.925,French Guiana,,True,,,,,,,,,French Guiana,French Guiana,,,,,,,,,French Guiana,0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,31.6,84.27,Mainland China,Tibet,True,,,,,,,,,,,,,,,,,,,Tibet (Mainland China),0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-34.93,138.61,Australia,South Australia,True,,,,,,,,,,,,,,,,,,,South Australia (Australia),0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-36.56,143.25,Australia,From Diamond Princess,True,,,,,,,,,,,,,,,,,,,From Diamond Princess (Australia),0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,AUS,,-36.56,143.25,Australia,Western Australia,True,,,,,,,,,,,,,,,,,,,Western Australia (Australia),0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,,51.4,-87.12,Canada,"London, ON",True,,,,,,,,,,,,,,,,,,,"London, ON (Canada)",0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,,51.4,-87.12,Canada,"Toronto, ON",True,,,,,,,,,,,,,,,,,,,"Toronto, ON (Canada)",0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,CAN,,51.4,-87.12,Canada,"Montreal, QC",True,,,,,,,,,,,,,,,,,,,"Montreal, QC (Canada)",0,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,ARM,Armenia,40.069,45.038,Armenia,,True,True,True,,JHU issue. Pls keep it,1,,0001-03-07,,Armenia,Armenia,,,,,,,,,Armenia,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,BTN,Bhutan,27.514,90.434,Bhutan,,True,True,True,,JHU,1,,0001-03-06,,Bhutan,Bhutan,,,,,,,,,Bhutan,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,COL,Colombia,4.571,-74.297,Colombia,,True,True,True,,JHU issue,1,,0001-03-07,,Colombia,Colombia,,,,,,,,,Colombia,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,JOR,Jordan,30.585,36.238,Jordan,,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,0001-03-07,,Jordan,Jordan,,,,,,,,,Jordan,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,LKA,Sri Lanka,7.873,80.772,Sri Lanka,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-07,,Sri Lanka,Sri Lanka,,,,,,,,,Sri Lanka,1,0,0
Mon Mar  9 13:50:22 PDT 2020,1583787022,LTU,Lithuania,55.169,23.881,Lithuania,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-07,,Lithuania,Lithuania,,,,,,,,,Lithuania,1,0,0
