date2,unixtime,nyt_id,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,jhu_country_region,jhu_state_province,override_count_,override_deaths_,label,confirmed,deaths,recovered
Tue Mar 10 21:41:11 PDT 2020,1583901671,91,HRV,Croatia,45.1,15.2,Croatia,,True,True,True,,,,,,,Croatia,Croatia,,,,,,,,,Croatia,,,,Croatia,0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,138,MTQ,Martinique,14.642,-61.024,Martinique,,True,,False,,,,,,,Martinique,Martinique,,,,,,,,,Martinique,,,,Martinique,0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,243,GUF,French Guiana,3.934,-51.925,French Guiana,,True,,,,,,,,,French Guiana,French Guiana,,,,,,,,,French Guiana,,,,French Guiana,0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,271,CHN,,31.6,84.27,China,Tibet,True,,,,,,,,,,,,,,,,,,,Mainland China,Tibet,,,Tibet (China),0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,277,AUS,,-34.93,138.61,Australia,South Australia,True,,,,,,,,,,,,,,,,,,,Australia,South Australia,,,South Australia (Australia),0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,279,AUS,,-36.56,143.25,Australia,From Diamond Princess,True,,,,,,,,,,,,,,,,,,,Australia,From Diamond Princess,,,From Diamond Princess (Australia),0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,280,AUS,,-36.56,143.25,Australia,Western Australia,True,,,,,,,,,,,,,,,,,,,Australia,Western Australia,,,Western Australia (Australia),0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,282,CAN,,51.4,-87.12,Canada,"London, ON",True,,,,,,,,,,,,,,,,,,,Canada,"London, ON",,,"London, ON (Canada)",0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,284,CAN,,51.4,-87.12,Canada,"Toronto, ON",True,,,,,,,,,,,,,,,,,,,Canada,"Toronto, ON",,,"Toronto, ON (Canada)",0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,285,CAN,,51.4,-87.12,Canada,"Montreal, QC",True,,,,,,,,,,,,,,,,,,,Canada,"Montreal, QC",,,"Montreal, QC (Canada)",0,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,6,ARM,Armenia,40.069,45.038,Armenia,,True,True,True,,JHU issue. Pls keep it,1,,0001-03-07,,Armenia,Armenia,,,,,,,,,Armenia,,,,Armenia,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,26,BRN,Brunei,4.535,114.728,Brunei,,True,True,True,,JHU issue,1,,0001-03-10,,Brunei,Brunei,,,,,,,,,Brunei,,,,Brunei,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,30,BTN,Bhutan,27.514,90.434,Bhutan,,True,True,True,,JHU,1,,0001-03-06,,Bhutan,Bhutan,,,,,,,,,Bhutan,,,,Bhutan,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,45,COL,Colombia,4.571,-74.297,Colombia,,True,True,True,,JHU issue,1,,0001-03-07,,Colombia,Colombia,,,,,,,,,Colombia,,,,Colombia,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,105,JOR,Jordan,30.585,36.238,Jordan,,True,True,True,,NYT. pls keep. JHU doesn't have it.,1,,0001-03-07,,Jordan,Jordan,,,,,,,,,Jordan,,,,Jordan,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,121,LKA,Sri Lanka,7.873,80.772,Sri Lanka,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-07,,Sri Lanka,Sri Lanka,,,,,,,,,Sri Lanka,,,,Sri Lanka,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,124,LTU,Lithuania,55.169,23.881,Lithuania,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",1,,0001-03-07,,Lithuania,Lithuania,,,,,,,,,Lithuania,,,,Lithuania,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,127,MCO,Monaco,43.75,7.413,Monaco,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Monaco,Monaco,,,,,,,,,Monaco,,,,Monaco,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,128,MDA,Moldova,47.412,28.37,Moldova,,True,True,True,,JH dashboard but not sheet,1,,0001-03-08,,Moldova,Moldova,,,,,,,,,Moldova,,,,Moldova,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,135,MNG,Mongolia,46.862,103.847,Mongolia,,True,True,True,,JHU issue,1,,0001-03-10,,Mongolia,Mongolia,,,,,,,,,Mongolia,,,,Mongolia,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,156,NPL,Nepal,28.395,84.124,Nepal,,True,True,True,,JHU dashboard but not sheet,1,,0001-03-07,,Nepal,Nepal,,,left,,,,,,Nepal,,,,Nepal,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,172,PRY,Paraguay,-23.443,-58.444,Paraguay,,True,True,True,,JHU issue,1,,0001-03-08,,Paraguay,Paraguay,,,,,,,,,Paraguay,,,,Paraguay,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,176,SRB,Serbia,44.017,21.006,Serbia,,True,True,True,,JHU issue,1,,0001-03-07,,Serbia,Serbia,,,,,,,,,Serbia,,,,Serbia,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,200,TGO,Togo,8.62,0.825,Togo,,True,True,True,,JHU,1,,0001-03-07,,Togo,Togo,,,,,,,,,Togo,,,,Togo,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,207,TUR,Turkey,38.964,35.243,Turkey,,True,True,True,,"Neil Vigdor, NYT, via Turkey health dept news conf",1,,0001-03-10,,Turkey,Turkey,,,,,,,,,Turkey,,,,Turkey,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,212,UKR,Ukraine,48.379,31.166,Ukraine,,True,True,True,,JHU table,1,,0001-03-07,,Ukraine,Ukraine,,,,,,,,,Ukraine,,,,Ukraine,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,217,VAT,Vatican City,41.903,12.453,Vatican City,,True,True,True,,JHU,1,,0001-03-07,,Vatican City,Vatican City,,,,,,,,,Vatican City,,,,Vatican City,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,234,AND,Andorra,42.549,1.585,Andorra,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Andorra,Andorra,,,,,,,,,Andorra,,,,Andorra,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,238,GIB,Gibraltar,36.138,-5.345,Gibraltar,,True,True,False,,JH dashboard but not sheet,1,,0001-03-07,,Gibraltar,Gibraltar,,,,,,,,,Gibraltar,,,,Gibraltar,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,241,LIE,Liechtenstein,47.166,9.555,Liechtenstein,,True,True,True,,JH dashboard but not sheet,1,,0001-03-07,,Liechtenstein,Liechtenstein,,,,,,,,,Liechtenstein,,,,Liechtenstein,1,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,5,ALB,Albania,41.153,20.168,Albania,,True,True,True,,JHU issue. Pls keep it,2,,0001-03-10,,Albania,Albania,,,,,,,,,Albania,,,,Albania,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,20,BFA,Burkina Faso,12.238,-1.562,Burkina Faso,,True,True,True,,JHU issue,2,,0001-03-10,,Burkina Faso,Burkina Faso,,,,,,,,,Burkina Faso,,,,Burkina Faso,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,44,CMR,Cameroon,7.37,12.355,Cameroon,,True,True,True,,JHU issue,2,,0001-03-07,,Cameroon,Cameroon,,,,,,,,,Cameroon,,,,Cameroon,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,50,CYP,Cyprus,35.126,33.43,Cyprus,,True,True,True,,JHU issue,2,,0001-03-10,,Cyprus,Cyprus,,,,,,,,,Cyprus,,,,Cyprus,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,69,FRO,Faroe Islands,61.893,-6.912,Faroe Islands,,True,True,False,,JHU issue. Also it's not included in Denmark national count: https://stps.dk/da/,2,,0001-03-08,,Faroe Islands,Faroe Islands,,,,,,,,,Faroe Islands,,,,Faroe Islands,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,109,KHM,Cambodia,12.566,104.991,Cambodia,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",2,,0001-03-08,,Cambodia,Cambodia,,,,,,,,,Cambodia,,,,Cambodia,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,152,NGA,Nigeria,9.082,8.675,Nigeria,,True,True,True,,JHU issue; Nigeria 2nd case confirmed (Allison),2,,0001-03-09,,Nigeria,Nigeria,True,True,top,,,,,,Nigeria,,,,Nigeria,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,239,MAR,Morocco,31.792,-7.093,Morocco,,True,True,True,,JH dashboard but not sheet,2,,0001-03-07,,Morocco,Morocco,,,,,,,,,Morocco,,,,Morocco,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,240,TUN,Tunisia,33.887,9.537,Tunisia,,True,True,True,,JH dashboard but not sheet,2,,0001-03-10,,Tunisia,Tunisia,,,,,,,,,Tunisia,,,,Tunisia,2,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,16,BIH,Bosnia and Herzegovina,43.916,17.679,Bosnia and Herzegovina,,True,True,True,,JHU issue,3,,0001-03-08,,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,Bosnia and Herzegovina,,,,Bosnia and Herzegovina,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,18,BGD,Bangladesh,23.685,90.356,Bangladesh,,True,True,True,,,3,,,,Bangladesh,Bangladesh,,,,,,,,,Bangladesh,,,,Bangladesh,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,125,LUX,Luxembourg,49.815,6.13,Luxembourg,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",3,,0001-03-08,,Luxembourg,Luxembourg,,,,,,,,,Luxembourg,,,,Luxembourg,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,132,MKD,North Macedonia,41.609,21.745,North Macedonia,,True,True,True,,JHU issue; NYT name change as of Feb. 11,3,,0001-03-08,,North Macedonia,North Macedonia,,,,,,,,,North Macedonia,,,,North Macedonia,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,141,MLT,Malta,35.937,14.375,Malta,,True,True,True,,JHU issue,3,,0001-03-08,,Malta,Malta,,,,,,,,,Malta,,,,Malta,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,187,SVK,Slovakia,48.669,19.699,Slovakia,,True,True,True,,JHU,3,,0001-03-08,,Slovakia,Slovakia,,,,,,,,,Slovakia,,,,Slovakia,3,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,2,AFG,Afghanistan,33.939,67.71,Afghanistan,,True,True,True,,JHU issue. Pls keep it,4,,0001-03-08,,Afghanistan,Afghanistan,,,,,,,,,Afghanistan,,,,Afghanistan,4,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,21,BGR,Bulgaria,42.734,25.486,Bulgaria,,True,True,True,,JHU issue,4,,0001-03-08,,Bulgaria,Bulgaria,,,,,,,,,Bulgaria,,,,Bulgaria,4,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,143,MDV,Maldives,3.203,73.221,Maldives,,True,True,True,,JHU issue,4,,0001-03-08,,Maldives,Maldives,,,,,,,,,Maldives,,,,Maldives,4,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,190,SEN,Senegal,14.497,-14.452,Senegal,,True,True,True,,JHU issue. keep,4,,0001-03-08,,Senegal,Senegal,,,,,,,,,Senegal,,,,Senegal,4,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,56,DOM,Dominican Rep.,18.736,-70.163,Dominican Republic,,True,True,True,,JHU issue,5,,0001-03-08,,Dominican Rep.,Dominican Rep.,,,,,,,,,Dominican Republic,,,,Dominican Republic,5,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,159,NZL,New Zealand,-44.63,168.376,New Zealand,,True,True,True,,JHU issue,5,,0001-03-07,,New Zealand,New Zealand,True,True,top,,,,,,New Zealand,,,,New Zealand,5,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,33,BLR,Belarus,53.71,27.953,Belarus,,True,True,True,,JHU issue,6,,0001-03-08,,Belarus,Belarus,,,,,,,,,Belarus,,,,Belarus,6,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,236,LVA,Latvia,56.88,24.603,Latvia,,True,True,True,,JH dashboard but not sheet,6,,0001-03-07,,Latvia,Latvia,,,,,,,,,Latvia,,,,Latvia,6,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,145,MEX,Mexico,23.635,-102.553,Mexico,,True,True,True,,JHU missing at noon on 3/8,7,,0001-03-10,,Mexico,Mexico,True,True,right,,,,,,Mexico,,,,Mexico,7,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,162,PER,Peru,-9.19,-75.015,Peru,,True,True,True,,JHU,7,,0001-03-10,,Peru,Peru,,,,,,,,,Peru,,,,Peru,7,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,228,ZAF,South Africa,-30.559,22.938,South Africa,,True,True,True,,JHU issue,7,,0001-03-08,,South Africa,South Africa,True,True,,,,,,,South Africa,,,,South Africa,7,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,43,CHL,Chile,-35.675,-71.543,Chile,,True,True,True,,"JHU has it on the dashboard, but somehow not in the sheet.",8,,0001-03-10,,Chile,Chile,,,,,,,,,Chile,,,,Chile,8,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,161,PAN,Panama,8.538,-80.782,,,True,True,True,,"via Kirk Semple, NYT, via Health Ministry of Panama",8,1,0001-03-10,,Panama,Panama,,,,,,,,,,,,,,8,1,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,15,AZE,Azerbaijan,40.143,47.577,Azerbaijan,,True,True,True,,JHU issue,9,,0001-03-08,,Azerbaijan,Azerbaijan,,,,,,,,,Azerbaijan,,,,Azerbaijan,9,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,46,CRI,Costa Rica,9.749,-83.753,Costa Rica,,True,True,True,,JHU issue,9,,0001-03-10,,Costa Rica,Costa Rica,,,,,,,,,Costa Rica,,,,Costa Rica,9,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,93,HUN,Hungary,47.162,19.503,Hungary,,True,True,True,,JHU issue. keep,9,,0001-03-10,,Hungary,Hungary,,,,,,,,,Hungary,,,,Hungary,9,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,59,EST,Estonia,58.595,25.014,Estonia,,True,True,True,,,10,,0001-03-09,,Estonia,Estonia,,,,,,,,,Estonia,,,,Estonia,10,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,136,MAC,Macau,22.199,113.544,China,Macao SAR,True,True,False,,,10,,0001-03-09,,Macau,Macau,,,,,,,,,China,Macao SAR,,,Macao SAR (China),10,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,58,ECU,Ecuador,-1.831,-78.183,Ecuador,,True,True,True,,,,,,,Ecuador,Ecuador,,,,,,,,,Ecuador,,,,Ecuador,15,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,74,GEO,Georgia,42.315,43.357,Georgia,,True,True,True,,JHU issue. keep,4,,0001-03-07,,Georgia,Georgia,,,,,,,,,Georgia,,,,Georgia,15,0,0
Tue Mar 10 21:41:11 PDT 2020,1583901671,166,PAK,Pakistan,30.375,69.345,Pakistan,,True,True,True,,JHU issue,6,,0001-03-08,,Pakistan,Pakistan,,,,,,,,,Pakistan,,,,Pakistan,16,0,1
Tue Mar 10 21:41:11 PDT 2020,1583901671,160,OMN,Oman,21.513,55.923,Oman,,True,True,True,,,,,,,Oman,Oman,,,,,,,,,Oman,,,,Oman,18,0,9
Tue Mar 10 21:41:11 PDT 2020,1583901671,264,CHN,,35.39,93.99,China,Qinghai,True,,,,,,,,,,,,,,,,,,,Mainland China,Qinghai,,,Qinghai (China),18,0,18
