date2,unixtime,county,state,postal,lat,lon,county_full,countytext,population_2010,countyfips,county_id,active,confirmed,deaths
Fri Mar  6 14:17:44 PST 2020,1583533064,Snohomish,Washington,WA,48.054913,-121.766412,Snohomish County,WA SNOHOMISH,713335,53061,61,True,18,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Cook,Illinois,IL,41.894294,-87.645455,Cook County,IL COOK,5194675,17031,31,True,5,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Orange,California,CA,33.675687,-117.777207,Orange County,CA ORANGE,3010232,6059,59,True,3,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Los Angeles,California,CA,34.196398,-118.261862,Los Angeles County,CA LOS ANGELES,9818605,6037,37,True,11,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Maricopa,Arizona,AZ,33.346541,-112.495534,Maricopa County,AZ MARICOPA,3817117,4013,13,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Santa Clara,California,CA,37.220777,-121.690622,Santa Clara County,CA SANTA CLARA,1781642,6085,85,True,20,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Suffolk,Massachusetts,MA,42.33196,-71.020173,Suffolk County,MA SUFFOLK,722023,25025,25,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,San Francisco,California,CA,37.765064,-122.443535,San Francisco County,CA SAN FRANCISCO,805235,6075,75,True,5,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Dane,Wisconsin,WI,43.067468,-89.417852,Dane County,WI DANE,488073,55025,25,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,San Diego,California,CA,33.023604,-116.776117,San Diego County,CA SAN DIEGO,3095313,6073,73,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Bexar,Texas,TX,29.448671,-98.520147,Bexar County,TX BEXAR,1714773,48029,29,True,11,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Douglas,Nebraska,NE,41.297091,-96.154066,Douglas County,NE DOUGLAS,517110,31055,55,True,13,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Marin,California,CA,38.051817,-122.745974,Marin County,CA MARIN,252409,6041,41,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Sonoma,California,CA,38.532574,-122.945194,Sonoma County,CA SONOMA,483878,6097,97,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Solano,California,CA,38.267226,-121.939594,Solano County,CA SOLANO,413344,6095,95,True,13,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Napa,California,CA,38.507351,-122.325995,Napa County,CA NAPA,136484,6055,55,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Humboldt,California,CA,40.706673,-123.925818,Humboldt County,CA HUMBOLDT,134623,6023,23,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Sacramento,California,CA,38.450011,-121.340441,Sacramento County,CA SACRAMENTO,1418788,6067,67,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Spokane,Washington,WA,47.620379,-117.404392,Spokane County,WA SPOKANE,471221,53063,63,True,4,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Salt Lake,Utah,UT,40.667882,-111.924244,Salt Lake County,UT SALT LAKE,1029655,49035,35,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Washington,Oregon,OR,45.553542,-123.097615,Washington County,OR WASHINGTON,529710,41067,67,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,King,Washington,WA,47.493554,-121.832375,King County,WA KING,1931249,53033,33,True,51,11
Fri Mar  6 14:17:44 PST 2020,1583533064,Unknown,Rhode Island,RI,,,,,,,,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Alameda,California,CA,37.648081,-121.913304,Alameda County,CA ALAMEDA,1510271,6001,1,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,New York,New York,NY,40.776557,-73.970174,New York County,NY NEW YORK,1585873,36061,61,True,4,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Sarasota,Florida,FL,27.184386,-82.365835,Sarasota County,FL SARASOTA,379448,12115,115,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Hillsborough,Florida,FL,27.90659,-82.349568,Hillsborough County,FL HILLSBOROUGH,1229226,12057,57,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Walla Walla,Washington,WA,46.254606,-118.480374,Walla Walla County,WA WALLA WALLA,58781,53071,71,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Grafton,New Hampshire,NH,43.926488,-71.842264,Grafton County,NH GRAFTON,89118,33009,9,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Placer,California,CA,39.062032,-120.722718,Placer County,CA PLACER,348432,6061,61,True,2,1
Fri Mar  6 14:17:44 PST 2020,1583533064,Norfolk,Massachusetts,MA,42.169702,-71.179875,Norfolk County,MA NORFOLK,670850,25021,21,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Fulton,Georgia,GA,33.790034,-84.468182,Fulton County,GA FULTON,920581,13121,121,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,San Mateo,California,CA,37.414664,-122.371542,San Mateo County,CA SAN MATEO,718451,6081,81,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Wake,North Carolina,NC,35.789846,-78.650624,Wake County,NC WAKE,900993,37183,183,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Contra Costa,California,CA,37.919479,-121.951543,Contra Costa County,CA CONTRA COSTA,1049025,6013,13,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Westchester,New York,NY,41.15277,-73.745912,Westchester County,NY WESTCHESTER,949113,36119,119,True,25,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Fort Bend,Texas,TX,29.526602,-95.771015,Fort Bend County,TX FORT BEND,585375,48157,157,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Bergen,New Jersey,NJ,40.95909,-74.074522,Bergen County,NJ BERGEN,905116,34003,3,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Chelan,Washington,WA,47.859891,-120.618543,Chelan County,WA CHELAN,72453,53007,7,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Kings,New York,NY,40.635133,-73.950777,Kings County,NY KINGS,2504700,36047,47,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Williamson,Tennessee,TN,35.894972,-86.896958,Williamson County,TN WILLIAMSON,183182,47187,187,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Santa Rosa,Florida,FL,30.703633,-87.014255,Santa Rosa County,FL SANTA ROSA,151372,12113,113,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Nassau,New York,NY,40.729687,-73.589384,Nassau County,NY NASSAU,1339532,36059,59,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Harris,Texas,TX,29.857273,-95.393037,Harris County,TX HARRIS,4092459,48201,201,True,5,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Jefferson,Colorado,CO,39.58646,-105.245601,Jefferson County,CO JEFFERSON,534543,8059,59,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Montgomery,Maryland,MD,39.137381,-77.203063,Montgomery County,MD MONTGOMERY,971777,24031,31,True,3,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Douglas,Colorado,CO,39.326435,-104.926199,Douglas County,CO DOUGLAS,285465,8035,35,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Middlesex,Massachusetts,MA,42.479477,-71.396507,Middlesex County,MA MIDDLESEX,1503085,25017,17,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Clark,Nevada,NV,36.214236,-115.013819,Clark County,NV CLARK,1951269,32003,3,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Washoe,Nevada,NV,40.703311,-119.710315,Washoe County,NV WASHOE,421407,32031,31,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Wayne,Pennsylvania,PA,41.646589,-75.292485,Wayne County,PA WAYNE,52822,42127,127,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Delaware,Pennsylvania,PA,39.91667,-75.398786,Delaware County,PA DELAWARE,558979,42045,45,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Floyd,Georgia,GA,34.263677,-85.21373,Floyd County,GA FLOYD,96317,13115,115,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Chatham,North Carolina,NC,35.704994,-79.251454,Chatham County,NC CHATHAM,63505,37037,37,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Unknown,Arizona,AZ,,,,,,,,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Marion,Indiana,IN,39.782976,-86.135794,Marion County,IN MARION,903393,18097,97,True,1,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Rockland,New York,NY,41.154785,-74.024772,Rockland County,NY ROCKLAND,311687,36087,87,True,2,0
Fri Mar  6 14:17:44 PST 2020,1583533064,Unknown,Massachusetts,MA,,,,,,,,True,5,0
