date2,unixtime,postal,sublocation,nytabbrev,lat,lon,nytregion,statefips,nytabbrev_name,state,confirmed,deaths
Wed Mar 11 08:21:15 PDT 2020,1583940075,AK,Alaska,Alaska,63.588753,-154.493062,W,2,,Alaska,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,AL,Alabama,Ala.,32.318231,-86.902298,S,1,,Alabama,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,AR,Arkansas,Ark.,35.20105,-91.831833,S,5,,Arkansas,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,AZ,Arizona,Ariz.,34.048928,-111.093731,W,4,,Arizona,6,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,CA,California,Calif.,36.509065,-119.388663,W,6,Calif.,California,178,3
Wed Mar 11 08:21:15 PDT 2020,1583940075,CO,Colorado,Colo.,39.550051,-105.782067,W,8,,Colorado,17,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,CT,Connecticut,Conn.,41.603221,-73.087749,NE,9,,Connecticut,2,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,DC,District of Columbia,D.C.,38.905985,-77.033418,NE,11,,District of Columbia,4,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,DE,Delaware,Del.,38.910832,-75.52767,NE,10,,Delaware,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,FL,Florida,Fla.,27.664827,-81.515754,S,12,,Florida,23,2
Wed Mar 11 08:21:15 PDT 2020,1583940075,GA,Georgia,Ga.,32.157435,-82.907123,S,13,,Georgia,22,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,HI,Hawaii,Hawaii,19.898682,-155.665857,W,15,,Hawaii,2,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,IA,Iowa,Iowa,41.878003,-93.097702,MW,19,,Iowa,13,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,ID,Idaho,Idaho,44.068202,-114.742041,W,16,,Idaho,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,IL,Illinois,Ill.,40.633125,-89.398528,MW,17,,Illinois,19,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,IN,Indiana,Ind.,40.551217,-85.602364,MW,18,,Indiana,6,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,KS,Kansas,Kan.,39.011902,-98.484246,MW,20,,Kansas,1,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,KY,Kentucky,Ky.,37.77429,-85.002638,S,21,,Kentucky,8,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,LA,Louisiana,La.,31.244823,-92.145024,S,22,,Louisiana,6,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MA,Massachusetts,Mass.,42.138477,-69.3,NE,25,,Massachusetts,92,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MD,Maryland,Md.,39.177316,-76.206326,NE,24,,Maryland,9,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,ME,Maine,Maine,45.253783,-69.445469,NE,23,,Maine,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MI,Michigan,Mich.,44.314844,-85.602364,MW,26,,Michigan,2,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MN,Minnesota,Minn.,46.729553,-94.6859,MW,27,,Minnesota,3,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MO,Missouri,Mo.,37.964253,-91.831833,MW,29,,Missouri,1,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MS,Mississippi,Miss.,32.354668,-89.398528,S,28,,Mississippi,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,MT,Montana,Mont.,46.879682,-110.362566,W,30,,Montana,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NC,North Carolina,N.C.,35.6029126,-77.4473952,S,37,,North Carolina,7,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,ND,North Dakota,N.D.,47.551493,-101.002012,MW,38,,North Dakota,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NE,Nebraska,Neb.,41.492537,-99.901813,MW,31,Neb.,Nebraska,16,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NH,New Hampshire,N.H.,43.193852,-71.572395,NE,33,,New Hampshire,5,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NJ,New Jersey,N.J.,40.058324,-74.405661,NE,34,,New Jersey,15,1
Wed Mar 11 08:21:15 PDT 2020,1583940075,NM,New Mexico,N.M.,34.97273,-105.032363,W,35,,New Mexico,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NV,Nevada,Nev.,38.80261,-116.419389,W,32,,Nevada,4,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,NY,New York,N.Y.,43,-75.12,NE,36,N.Y.,New York,173,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,OH,Ohio,Ohio,40.417287,-82.907123,MW,39,,Ohio,3,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,OK,Oklahoma,Okla.,35.007752,-97.092877,S,40,,Oklahoma,2,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,OR,Oregon,Ore.,43.804133,-120.554201,W,41,,Oregon,14,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,PA,Pennsylvania,Pa.,41.203322,-77.194525,NE,42,,Pennsylvania,12,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,RI,Rhode Island,R.I.,39.6,-71.64,NE,44,,Rhode Island,5,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,SC,South Carolina,S.C.,33.836081,-81.163725,S,45,,South Carolina,9,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,SD,South Dakota,S.D.,43.969515,-99.901813,MW,46,,South Dakota,5,1
Wed Mar 11 08:21:15 PDT 2020,1583940075,TN,Tennessee,Tenn.,35.866877,-85.895452,S,47,,Tennessee,7,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,TX,Texas,Texas,31.968599,-99.901813,S,48,Texas,Texas,30,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,UT,Utah,Utah,39.32098,-111.093731,W,49,,Utah,3,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,VA,Virginia,Va.,37.431573,-78.656894,S,51,,Virginia,8,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,VT,Vermont,Vt.,44.558803,-72.577841,NE,50,,Vermont,1,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,WA,Washington,Wash.,46.751074,-120.740139,W,53,Wash.,Washington,279,24
Wed Mar 11 08:21:15 PDT 2020,1583940075,WI,Wisconsin,Wis.,43.78444,-88.787868,MW,55,,Wisconsin,3,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,WV,West Virginia,W.Va.,38.597626,-80.454903,NE,54,,West Virginia,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,WY,Wyoming,Wyo.,43.075968,-107.290284,W,56,,Wyoming,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,PR,Puerto Rico,P.R.,18.220833,-66.590149,,72,,Puerto Rico,0,0
Wed Mar 11 08:21:15 PDT 2020,1583940075,,Unknown,,9999,9999,,,,Unknown,0,0
