COUNTY,STATE,POSTAL,LAT,LON,COUNTY_FULL,COUNTYTEXT,POPULATION_2010,COUNTYFIPS,COUNTY_ID,COUNTY_ORIGINAL_NAME,ACTIVE,CONFIRMED,DEATHS
SNOHOMISH,WASHINGTON,WA,48.054913,-121.766412,SNOHOMISH COUNTY,WA SNOHOMISH,713335,53061,61,SNOHOMISH,TRUE,175,3
COOK,ILLINOIS,IL,41.894294,-87.645455,COOK COUNTY,IL COOK,5194675,17031,31,COOK,TRUE,51,0
ORANGE,CALIFORNIA,CA,33.675687,-117.777207,ORANGE COUNTY,CA ORANGE,3010232,6059,59,ORANGE,TRUE,17,0
LOS ANGELES,CALIFORNIA,CA,34.196398,-118.261862,LOS ANGELES COUNTY,CA LOS ANGELES,9818605,6037,37,LOS ANGELES,TRUE,69,1
MARICOPA,ARIZONA,AZ,33.346541,-112.495534,MARICOPA COUNTY,AZ MARICOPA,3817117,4013,13,MARICOPA,TRUE,4,0
SANTA CLARA,CALIFORNIA,CA,37.220777,-121.690622,SANTA CLARA COUNTY,CA SANTA CLARA,1781642,6085,85,SANTA CLARA,TRUE,114,2
SUFFOLK,MASSACHUSETTS,MA,42.33196,-71.020173,SUFFOLK COUNTY,MA SUFFOLK,722023,25025,25,SUFFOLK,TRUE,31,0
SAN FRANCISCO,CALIFORNIA,CA,37.765064,-122.443535,SAN FRANCISCO COUNTY,CA SAN FRANCISCO,805235,6075,75,SAN FRANCISCO,TRUE,37,0
DANE,WISCONSIN,WI,43.067468,-89.417852,DANE COUNTY,WI DANE,488073,55025,25,DANE,TRUE,6,0
SAN DIEGO,CALIFORNIA,CA,33.023604,-116.776117,SAN DIEGO COUNTY,CA SAN DIEGO,3095313,6073,73,SAN DIEGO,TRUE,40,0
BEXAR,TEXAS,TX,29.448671,-98.520147,BEXAR COUNTY,TX BEXAR,1714773,48029,29,BEXAR,TRUE,12,0
DOUGLAS,NEBRASKA,NE,41.297091,-96.154066,DOUGLAS COUNTY,NE DOUGLAS,517110,31055,55,DOUGLAS,TRUE,32,0
MARIN,CALIFORNIA,CA,38.051817,-122.745974,MARIN COUNTY,CA MARIN,252409,6041,41,MARIN,TRUE,4,0
SONOMA,CALIFORNIA,CA,38.532574,-122.945194,SONOMA COUNTY,CA SONOMA,483878,6097,97,SONOMA,TRUE,4,0
SACRAMENTO,CALIFORNIA,CA,38.450011,-121.340441,SACRAMENTO COUNTY,CA SACRAMENTO,1418788,6067,67,SACRAMENTO,TRUE,32,1
SOLANO,CALIFORNIA,CA,38.267226,-121.939594,SOLANO COUNTY,CA SOLANO,413344,6095,95,SOLANO,TRUE,13,0
NAPA,CALIFORNIA,CA,38.507351,-122.325995,NAPA COUNTY,CA NAPA,136484,6055,55,NAPA,TRUE,1,0
HUMBOLDT,CALIFORNIA,CA,40.706673,-123.925818,HUMBOLDT COUNTY,CA HUMBOLDT,134623,6023,23,HUMBOLDT,TRUE,1,0
SPOKANE,WASHINGTON,WA,47.620379,-117.404392,SPOKANE COUNTY,WA SPOKANE,471221,53063,63,SPOKANE,TRUE,7,0
SALT LAKE,UTAH,UT,40.667882,-111.924244,SALT LAKE COUNTY,UT SALT LAKE,1029655,49035,35,SALT LAKE,TRUE,15,0
WASHINGTON,OREGON,OR,45.553542,-123.097615,WASHINGTON COUNTY,OR WASHINGTON,529710,41067,67,WASHINGTON,TRUE,13,0
KING,WASHINGTON,WA,47.493554,-121.832375,KING COUNTY,WA KING,1931249,53033,33,KING,TRUE,421,37
UNKNOWN,RHODE ISLAND,RI,,,,,,,,UNKNOWN,TRUE,20,0
ALAMEDA,CALIFORNIA,CA,37.648081,-121.913304,ALAMEDA COUNTY,CA ALAMEDA,1510271,6001,1,ALAMEDA,TRUE,37,0
NEW YORK,NEW YORK,NY,40.776557,-73.970174,NEW YORK COUNTY,NY NEW YORK,1585873,36061,61,NEW YORK,TRUE,330,5
