Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered
Afghanistan,34656032,7,0,,,
Albania,2876101,15,1,,,
Andorra,77281,1,0,,,
Argentina,43847430,21,1,,,
Armenia,2924816,1,0,,,
Australia,24127159,156,3,,,26
Austria,8747358,302,1,,,4
Azerbaijan,9762274,11,0,,,3
Belgium,11348159,314,3,,,1
Bangladesh,162951560,3,0,,,
Bulgaria,7127822,7,1,,,
Bahrain,1425171,195,0,,1,35
Belarus,9507120,12,0,,,3
Brazil,207652865,52,0,,,
Bhutan,797765,1,0,,,
Canada,36286425,109,1,,1,9
Switzerland,8372098,642,4,,,4
Chile,17909754,23,0,,,
Cameroon,23439189,2,0,,,
Colombia,48653419,9,0,,,
Costa Rica,4857274,22,0,1,,
Cyprus,1170125,6,0,,,
Czech Republic,10561633,94,0,0,0,0
Germany,82667685,2512,5,,2,25
Dominican Republic,10648791,5,0,,,
Algeria,40606052,24,1,,,
Ecuador,16385068,17,0,,1,
Egypt,95688681,67,1,,,27
Spain,46443959,3059,86,190,,189
Estonia,1316481,10,0,0,0,0
Finland,5495096,59,0,,,1
France,66896109,2281,48,105,,12
United Kingdom,65637239,456,8,20,,12
Georgia,3719300,24,0,1,,
Gibraltar,34408,1,0,1,,
Greece,10746740,99,1,2,,
Hong Kong,7346700,130,2,2,4,59
Honduras,9112867,2,0,,,
Croatia,4170600,19,0,,,
Hungary,9817958,13,0,0,0,0
Indonesia,261115456,34,1,,,
India,1324171354,73,0,,,4
Ireland,4773095,43,1,,,
Iran,80277428,10075,429,,,2959
Iraq,37202572,71,8,,,15
Iceland,334252,85,0,,,
Israel,8547100,100,0,1,,3
Italy,60600590,15113,1016,1153,,1258
Jamaica,2881355,2,0,,,
Jordan,9455802,1,0,,,
Japan,126994511,638,16,26,,59
Cambodia,15762370,3,0,,,1
South Korea,51245707,7869,66,,36,333
Kuwait,4052584,80,0,4,,5
Lebanon,6006668,61,3,,3,
Liechtenstein,37666,1,0,,,
Sri Lanka,21203000,2,0,,,1
Lithuania,2872298,3,0,,,
Luxembourg,582972,19,0,,,
Latvia,1960424,16,0,,,
Morocco,35276786,6,1,,,
Monaco,38499,1,0,,,
Moldova,3552000,3,0,,,
Maldives,417492,8,0,,,
Mexico,127540423,12,0,1,,4
Malta,436947,7,0,,,
Malaysia,31187265,149,0,2,,26
Nigeria,185989640,2,0,0,0,0
Netherlands,17018408,503,5,1,,2
Norway,5232929,629,0,,,
Nepal,28982771,1,0,,,1
New Zealand,4692700,5,0,,,
Oman,4424762,18,0,0,0,9
Pakistan,193203476,19,0,,,2
Panama,4034119,8,1,,,
Peru,31773839,17,0,,,
Philippines,103320222,52,2,1,,2
Poland,37948016,47,0,2,0,0
Portugal,10324611,59,0,,,
Paraguay,6725308,5,0,1,,
Qatar,2569804,262,0,,,
Romania,19705301,48,0,,,6
Saudi Arabia,32275687,45,0,,,1
Senegal,15411614,4,0,0,0,0
Singapore,5607283,178,0,,9,96
San Marino,33203,62,2,5,,
Serbia,7057412,19,0,,,
Slovenia,2064845,57,0,0,0,0
Sweden,9903122,500,1,,,
Togo,7606374,1,0,,,
Thailand,68863514,70,1,1,,35
Tunisia,11403248,7,0,,,
Turkey,79512426,1,0,,,
Ukraine,45004645,1,0,,,
United States,323127513,1336,36,2,6,9
Vietnam,92701100,39,0,,,16
South Africa,55908865,17,0,,,
