,COUNTY,POPULATION_2010,CONFIRMED,DEATHS,ICU BED COUNT,HOSPITALS,HOSPITALS PERCAP,CONFIRMED PERCAP,DEATHS PERCAP,ICU BED COUNT PERCAP,CONFIRMED PERHOSP,DEATHS PERHOSP,ICU BED COUNT PERHOSP,date
0,ORANGE,3010232,5,0,622,44,0.00001462,0.00000166,0.00000000,0.00020663,0.11363636,0.00000000,14.13636364,2020-03-11 17:16:38.772339
1,LOS ANGELES,9818605,27,1,2192,90,0.00000917,0.00000275,0.00000010,0.00022325,0.30000000,0.01111111,24.35555556,2020-03-11 17:16:38.772339
2,SANTA CLARA,1781642,45,1,438,12,0.00000674,0.00002526,0.00000056,0.00024584,3.75000000,0.08333333,36.50000000,2020-03-11 17:16:38.772339
3,SAN FRANCISCO,805235,17,0,334,12,0.00001490,0.00002111,0.00000000,0.00041479,1.41666667,0.00000000,27.83333333,2020-03-11 17:16:38.772339
4,SAN DIEGO,3095313,2,0,598,21,0.00000678,0.00000065,0.00000000,0.00019320,0.09523810,0.00000000,28.47619048,2020-03-11 17:16:38.772339
5,MARIN,252409,2,0,30,3,0.00001189,0.00000792,0.00000000,0.00011885,0.66666667,0.00000000,10.00000000,2020-03-11 17:16:38.772339
6,SONOMA,483878,2,0,72,9,0.00001860,0.00000413,0.00000000,0.00014880,0.22222222,0.00000000,8.00000000,2020-03-11 17:16:38.772339
7,SACRAMENTO,1418788,9,1,376,12,0.00000846,0.00000634,0.00000070,0.00026501,0.75000000,0.08333333,31.33333333,2020-03-11 17:16:38.772339
8,SOLANO,413344,12,0,82,6,0.00001452,0.00002903,0.00000000,0.00019838,2.00000000,0.00000000,13.66666667,2020-03-11 17:16:38.772339
9,NAPA,136484,1,0,48,3,0.00002198,0.00000733,0.00000000,0.00035169,0.33333333,0.00000000,16.00000000,2020-03-11 17:16:38.772339
10,HUMBOLDT,134623,1,0,26,7,0.00005200,0.00000743,0.00000000,0.00019313,0.14285714,0.00000000,3.71428571,2020-03-11 17:16:38.772339
11,ALAMEDA,1510271,25,0,291,16,0.00001059,0.00001655,0.00000000,0.00019268,1.56250000,0.00000000,18.18750000,2020-03-11 17:16:38.772339
12,PLACER,348432,7,1,58,3,0.00000861,0.00002009,0.00000287,0.00016646,2.33333333,0.33333333,19.33333333,2020-03-11 17:16:38.772339
13,SAN MATEO,718451,15,0,96,7,0.00000974,0.00002088,0.00000000,0.00013362,2.14285714,0.00000000,13.71428571,2020-03-11 17:16:38.772339
14,CONTRA COSTA,1049025,9,0,169,8,0.00000763,0.00000858,0.00000000,0.00016110,1.12500000,0.00000000,21.12500000,2020-03-11 17:16:38.772339
15,YOLO,200849,1,0,14,2,0.00000996,0.00000498,0.00000000,0.00006970,0.50000000,0.00000000,7.00000000,2020-03-11 17:16:38.772339
16,MADERA,150865,1,0,52,2,0.00001326,0.00000663,0.00000000,0.00034468,0.50000000,0.00000000,26.00000000,2020-03-11 17:16:38.772339
