,Province/State,Country/Region,Lat,Long,3/11/20,3/12/20,Delta,Percentage,date
0,,Thailand,15.00000000,101.00000000,59,70,11,18.64406780,2020-03-12 22:25:28.337717
1,,Japan,36.00000000,138.00000000,639,639,0,0.00000000,2020-03-12 22:25:28.337717
2,,Singapore,1.28330000,103.83330000,178,178,0,0.00000000,2020-03-12 22:25:28.337717
3,,Nepal,28.16670000,84.25000000,1,1,0,0.00000000,2020-03-12 22:25:28.337717
4,,Malaysia,2.50000000,112.50000000,149,149,0,0.00000000,2020-03-12 22:25:28.337717
5,British Columbia,Canada,49.28270000,-123.12070000,39,46,7,17.94871795,2020-03-12 22:25:28.337717
6,New South Wales,Australia,-33.86880000,151.20930000,65,65,0,0.00000000,2020-03-12 22:25:28.337717
7,Victoria,Australia,-37.81360000,144.96310000,21,21,0,0.00000000,2020-03-12 22:25:28.337717
8,Queensland,Australia,-28.01670000,153.40000000,20,20,0,0.00000000,2020-03-12 22:25:28.337717
9,,Cambodia,11.55000000,104.91670000,3,3,0,0.00000000,2020-03-12 22:25:28.337717
10,,Sri Lanka,7.00000000,81.00000000,2,2,0,0.00000000,2020-03-12 22:25:28.337717
11,,Germany,51.00000000,9.00000000,1908,2078,170,8.90985325,2020-03-12 22:25:28.337717
12,,Finland,64.00000000,26.00000000,59,59,0,0.00000000,2020-03-12 22:25:28.337717
13,,United Arab Emirates,24.00000000,54.00000000,74,85,11,14.86486486,2020-03-12 22:25:28.337717
14,,Philippines,13.00000000,122.00000000,49,52,3,6.12244898,2020-03-12 22:25:28.337717
15,,India,21.00000000,78.00000000,62,73,11,17.74193548,2020-03-12 22:25:28.337717
16,,Italy,43.00000000,12.00000000,12462,12462,0,0.00000000,2020-03-12 22:25:28.337717
17,,Sweden,63.00000000,16.00000000,500,599,99,19.80000000,2020-03-12 22:25:28.337717
18,,Spain,40.00000000,-4.00000000,2277,2277,0,0.00000000,2020-03-12 22:25:28.337717
19,South Australia,Australia,-34.92850000,138.60070000,9,9,0,0.00000000,2020-03-12 22:25:28.337717
20,,Belgium,50.83330000,4.00000000,314,314,0,0.00000000,2020-03-12 22:25:28.337717
21,,Egypt,26.00000000,30.00000000,60,67,7,11.66666667,2020-03-12 22:25:28.337717
22,From Diamond Princess,Australia,35.44370000,139.63800000,0,0,0,,2020-03-12 22:25:28.337717
23,,Lebanon,33.85470000,35.86230000,61,61,0,0.00000000,2020-03-12 22:25:28.337717
24,,Iraq,33.00000000,44.00000000,71,71,0,0.00000000,2020-03-12 22:25:28.337717
25,,Oman,21.00000000,57.00000000,18,18,0,0.00000000,2020-03-12 22:25:28.337717
26,,Afghanistan,33.00000000,65.00000000,7,7,0,0.00000000,2020-03-12 22:25:28.337717
27,,Bahrain,26.02750000,50.55000000,195,195,0,0.00000000,2020-03-12 22:25:28.337717
28,,Kuwait,29.50000000,47.75000000,72,80,8,11.11111111,2020-03-12 22:25:28.337717
29,,Algeria,28.03390000,1.65960000,20,24,4,20.00000000,2020-03-12 22:25:28.337717
30,,Croatia,45.10000000,15.20000000,19,19,0,0.00000000,2020-03-12 22:25:28.337717
31,,Switzerland,46.81820000,8.22750000,652,652,0,0.00000000,2020-03-12 22:25:28.337717
32,,Austria,47.51620000,14.55010000,246,302,56,22.76422764,2020-03-12 22:25:28.337717
33,,Israel,31.00000000,35.00000000,109,131,22,20.18348624,2020-03-12 22:25:28.337717
34,,Pakistan,30.37530000,69.34510000,19,20,1,5.26315789,2020-03-12 22:25:28.337717
35,,Brazil,-14.23500000,-51.92530000,38,52,14,36.84210526,2020-03-12 22:25:28.337717
36,,Georgia,42.31540000,43.35690000,24,24,0,0.00000000,2020-03-12 22:25:28.337717
37,,Greece,39.07420000,21.82430000,99,99,0,0.00000000,2020-03-12 22:25:28.337717
38,,North Macedonia,41.60860000,21.74530000,7,7,0,0.00000000,2020-03-12 22:25:28.337717
39,,Norway,60.47200000,8.46890000,598,702,104,17.39130435,2020-03-12 22:25:28.337717
40,,Romania,45.94320000,24.96680000,45,49,4,8.88888889,2020-03-12 22:25:28.337717
41,,Estonia,58.59530000,25.01360000,16,16,0,0.00000000,2020-03-12 22:25:28.337717
42,,Netherlands,52.13260000,5.29130000,503,503,0,0.00000000,2020-03-12 22:25:28.337717
43,,San Marino,43.94240000,12.45780000,62,69,7,11.29032258,2020-03-12 22:25:28.337717
44,,Belarus,53.70980000,27.95340000,9,12,3,33.33333333,2020-03-12 22:25:28.337717
45,,Iceland,64.96310000,-19.02080000,85,103,18,21.17647059,2020-03-12 22:25:28.337717
46,,Lithuania,55.16940000,23.88130000,3,3,0,0.00000000,2020-03-12 22:25:28.337717
47,,Mexico,23.63450000,-102.55280000,8,12,4,50.00000000,2020-03-12 22:25:28.337717
48,,New Zealand,-40.90060000,174.88600000,5,5,0,0.00000000,2020-03-12 22:25:28.337717
49,,Nigeria,9.08200000,8.67530000,2,2,0,0.00000000,2020-03-12 22:25:28.337717
50,Western Australia,Australia,-31.95050000,115.86050000,9,9,0,0.00000000,2020-03-12 22:25:28.337717
51,,Ireland,53.14240000,-7.69210000,43,43,0,0.00000000,2020-03-12 22:25:28.337717
52,,Luxembourg,49.81530000,6.12960000,7,19,12,171.42857143,2020-03-12 22:25:28.337717
53,,Monaco,43.73330000,7.41670000,1,2,1,100.00000000,2020-03-12 22:25:28.337717
