,NAME,POPESTIMATE2019,Cases,Deaths,Serious,Critical,Recovered,Hospital Count,Positive,Negative,Pending,Total,Hosp Percap,Cases Percap,Deaths Percap,Serious Percap,Critical Percap,Recovered Percap,Positive Percap,Negative Percap,Pending Percap,Total Percap,Cases PerHosp,Total PerHosp,Deaths PerHosp,Serious PerHosp,Critical PerHosp,Recovered PerHosp,Positive PerHosp,Negative PerHosp,Pending PerHosp,Death per Death plus Rec,date
0,Alabama,4903185,0,0,,,,97,0,,,0,0.00001978,0.00000000,0.00000000,,,,0.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,,,,0.00000000,,,,2020-03-19 22:41:59.814103
1,Alaska,731545,0,0,,,,26,0,14.00000000,6.00000000,20,0.00003554,0.00000000,0.00000000,,,,0.00000000,0.00001914,0.00000820,0.00002734,0.00000000,0.76923077,0.00000000,,,,0.00000000,0.53846154,0.23076923,,2020-03-19 22:41:59.814103
2,Arizona,7278717,9,0,,,1.00000000,94,5,44.00000000,7.00000000,56,0.00001291,0.00000124,0.00000000,,,0.00000014,0.00000069,0.00000605,0.00000096,0.00000769,0.09574468,0.59574468,0.00000000,,,0.01063830,0.05319149,0.46808511,0.07446809,0.00000000,2020-03-19 22:41:59.814103
3,Arkansas,3017804,0,0,,,,86,0,6.00000000,0.00000000,6,0.00002850,0.00000000,0.00000000,,,,0.00000000,0.00000199,0.00000000,0.00000199,0.00000000,0.06976744,0.00000000,,,,0.00000000,0.06976744,0.00000000,,2020-03-19 22:41:59.814103
4,California,39512223,109,3,,1.00000000,1.00000000,383,88,462.00000000,,550,0.00000969,0.00000276,0.00000008,,0.00000003,0.00000003,0.00000223,0.00001169,,0.00001392,0.28459530,1.43603133,0.00783290,,0.00261097,0.00261097,0.22976501,1.20626632,,0.75000000,2020-03-19 22:41:59.814103
5,Colorado,5758736,8,0,,,,91,8,208.00000000,,216,0.00001580,0.00000139,0.00000000,,,,0.00000139,0.00003612,,0.00003751,0.08791209,2.37362637,0.00000000,,,,0.08791209,2.28571429,,,2020-03-19 22:41:59.814103
6,Connecticut,3565287,2,0,,,,37,1,29.00000000,8.00000000,38,0.00001038,0.00000056,0.00000000,,,,0.00000028,0.00000813,0.00000224,0.00001066,0.05405405,1.02702703,0.00000000,,,,0.02702703,0.78378378,0.21621622,,2020-03-19 22:41:59.814103
7,Delaware,973764,0,0,,,,12,0,10.00000000,0.00000000,10,0.00001232,0.00000000,0.00000000,,,,0.00000000,0.00001027,0.00000000,0.00001027,0.00000000,0.83333333,0.00000000,,,,0.00000000,0.83333333,0.00000000,,2020-03-19 22:41:59.814103
8,Florida,21477737,21,2,,,,211,17,118.00000000,108.00000000,243,0.00000982,0.00000098,0.00000009,,,,0.00000079,0.00000549,0.00000503,0.00001131,0.09952607,1.15165877,0.00947867,,,,0.08056872,0.55924171,0.51184834,,2020-03-19 22:41:59.814103
9,Georgia,10617423,22,0,,,,147,7,,,7,0.00001385,0.00000207,0.00000000,,,,0.00000066,,,0.00000066,0.14965986,0.04761905,0.00000000,,,,0.04761905,,,,2020-03-19 22:41:59.814103
10,Hawaii,1415872,2,0,,,,25,1,,,1,0.00001766,0.00000141,0.00000000,,,,0.00000071,,,0.00000071,0.08000000,0.04000000,0.00000000,,,,0.04000000,,,,2020-03-19 22:41:59.814103
11,Idaho,1787065,0,0,,,,45,0,27.00000000,,27,0.00002518,0.00000000,0.00000000,,,,0.00000000,0.00001511,,0.00001511,0.00000000,0.60000000,0.00000000,,,,0.00000000,0.60000000,,,2020-03-19 22:41:59.814103
12,Illinois,12671821,19,0,,,2.00000000,194,6,191.00000000,44.00000000,241,0.00001531,0.00000150,0.00000000,,,0.00000016,0.00000047,0.00001507,0.00000347,0.00001902,0.09793814,1.24226804,0.00000000,,,0.01030928,0.03092784,0.98453608,0.22680412,0.00000000,2020-03-19 22:41:59.814103
13,Indiana,6732219,2,0,,,,147,2,,,2,0.00002184,0.00000030,0.00000000,,,,0.00000030,,,0.00000030,0.01360544,0.01360544,0.00000000,,,,0.01360544,,,,2020-03-19 22:41:59.814103
