,Country,Year_2016,Cases,Deaths,Serious,Critical,Recovered,Cases PerCapita,Deaths PerCapita,Serious PerCapita,Critical PerCapita,Recovered PerCapita,Deaths per Death plus Rec,date
0,Afghanistan,34656032,7,0,,,,0.00000020,0.00000000,,,,,2020-03-12 22:25:26.757197
1,Albania,2876101,15,1,,,,0.00000522,0.00000035,,,,,2020-03-12 22:25:26.757197
2,Andorra,77281,1,0,,,,0.00001294,0.00000000,,,,,2020-03-12 22:25:26.757197
3,Argentina,43847430,21,1,,,,0.00000048,0.00000002,,,,,2020-03-12 22:25:26.757197
4,Armenia,2924816,1,0,,,,0.00000034,0.00000000,,,,,2020-03-12 22:25:26.757197
5,Australia,24127159,156,3,,,26.00000000,0.00000647,0.00000012,,,0.00000108,0.10344828,2020-03-12 22:25:26.757197
6,Austria,8747358,302,1,,,4.00000000,0.00003452,0.00000011,,,0.00000046,0.20000000,2020-03-12 22:25:26.757197
7,Azerbaijan,9762274,11,0,,,3.00000000,0.00000113,0.00000000,,,0.00000031,0.00000000,2020-03-12 22:25:26.757197
8,Belgium,11348159,399,3,,,1.00000000,0.00003516,0.00000026,,,0.00000009,0.75000000,2020-03-12 22:25:26.757197
9,Bangladesh,162951560,3,0,,,,0.00000002,0.00000000,,,,,2020-03-12 22:25:26.757197
10,Bulgaria,7127822,7,1,,,,0.00000098,0.00000014,,,,,2020-03-12 22:25:26.757197
11,Bahrain,1425171,195,0,,1.00000000,35.00000000,0.00013683,0.00000000,,0.00000070,0.00002456,0.00000000,2020-03-12 22:25:26.757197
12,Belarus,9507120,12,0,,,3.00000000,0.00000126,0.00000000,,,0.00000032,0.00000000,2020-03-12 22:25:26.757197
13,Brazil,207652865,52,0,,,,0.00000025,0.00000000,,,,,2020-03-12 22:25:26.757197
14,Bhutan,797765,1,0,,,,0.00000125,0.00000000,,,,,2020-03-12 22:25:26.757197
15,Canada,36286425,109,1,,1.00000000,11.00000000,0.00000300,0.00000003,,0.00000003,0.00000030,0.08333333,2020-03-12 22:25:26.757197
16,Switzerland,8372098,854,7,,,4.00000000,0.00010201,0.00000084,,,0.00000048,0.63636364,2020-03-12 22:25:26.757197
17,Chile,17909754,23,0,,,,0.00000128,0.00000000,,,,,2020-03-12 22:25:26.757197
18,Cameroon,23439189,2,0,,,,0.00000009,0.00000000,,,,,2020-03-12 22:25:26.757197
19,Colombia,48653419,9,0,,,,0.00000018,0.00000000,,,,,2020-03-12 22:25:26.757197
20,Costa Rica,4857274,22,0,1.00000000,,,0.00000453,0.00000000,0.00000021,,,,2020-03-12 22:25:26.757197
21,Cyprus,1170125,6,0,,,,0.00000513,0.00000000,,,,,2020-03-12 22:25:26.757197
22,Czech Republic,10561633,94,0,0.00000000,0.00000000,0.00000000,0.00000890,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-12 22:25:26.757197
23,Germany,82667685,2745,6,,2.00000000,25.00000000,0.00003321,0.00000007,,0.00000002,0.00000030,0.19354839,2020-03-12 22:25:26.757197
24,Dominican Republic,10648791,5,0,,,,0.00000047,0.00000000,,,,,2020-03-12 22:25:26.757197
25,Algeria,40606052,24,1,,,,0.00000059,0.00000002,,,,,2020-03-12 22:25:26.757197
26,Ecuador,16385068,17,0,,1.00000000,,0.00000104,0.00000000,,0.00000006,,,2020-03-12 22:25:26.757197
27,Egypt,95688681,67,1,,,27.00000000,0.00000070,0.00000001,,,0.00000028,0.03571429,2020-03-12 22:25:26.757197
28,Spain,46443959,3146,67,190.00000000,,189.00000000,0.00006774,0.00000144,0.00000409,,0.00000407,0.26171875,2020-03-12 22:25:26.757197
29,Estonia,1316481,10,0,0.00000000,0.00000000,0.00000000,0.00000760,0.00000000,0.00000000,0.00000000,0.00000000,,2020-03-12 22:25:26.757197
30,Finland,5495096,59,0,,,1.00000000,0.00001074,0.00000000,,,0.00000018,0.00000000,2020-03-12 22:25:26.757197
31,France,66896109,2876,61,129.00000000,,12.00000000,0.00004299,0.00000091,0.00000193,,0.00000018,0.83561644,2020-03-12 22:25:26.757197
32,United Kingdom,65637239,590,10,20.00000000,,12.00000000,0.00000899,0.00000015,0.00000030,,0.00000018,0.45454545,2020-03-12 22:25:26.757197
33,Georgia,3719300,24,0,1.00000000,,,0.00000645,0.00000000,0.00000027,,,,2020-03-12 22:25:26.757197
