Name,Postal,Hospital Count
Alabama,AL,97
Alaska,AK,26
Arizona,AZ,94
Arkansas,AR,86
California,CA,383
Colorado,CO,91
Connecticut,CT,37
Delaware,DE,12
Florida,FL,211
Georgia,GA,147
Hawaii,HI,25
Idaho,ID,45
Illinois,IL,194
Indiana,IN,147
Iowa,IA,118
Kansas,KS,139
Kentucky,KY,102
Louisiana,LA,152
Maine,ME,36
Maryland,MD,56
Massachusetts,MA,78
Michigan,MI,144
Minnesota,MN,138
Mississippi,MS,102
Missouri,MO,123
Montana,MT,64
Nebraska,NE,91
Nevada,NV,45
New Hampshire,NH,28
New Jersey,NJ,80
New Mexico,NM,46
New York,NY,194
North Carolina,NC,120
North Dakota,ND,47
Ohio,OH,193
Oklahoma,OK,130
Oregon,OR,62
Pennsylvania,PA,190
Rhode Island,RI,12
South Carolina,SC,67
South Dakota,SD,58
Tennessee,TN,118
Texas,TX,457
Utah,UT,52
Vermont,VT,16
Virginia,VA,95
Washington,WA,101
West Virginia,WV,53
Wisconsin,WI,136
Wyoming,WY,29
